stage,blastomeres,endoderm,epidermis,glial,hatching_gland,immune,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,6.13,0,0,0,0,0,0,0,0,12.26,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0
