stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,1,0,0,0,8,0,0,0,0,0,0,1,0,3,0,1,11,1,1,0,1,0,0,1,4,1,33,0,0,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,0,0,15.6,0,0,0,0,0,0,0,0.82,3.28,0,0.82,55.82,0,14.78,0,0,1.64,0,0,9.85,0,39.4,0,0,0.82,0
 36-46,0,0,0,0,0.81,0.81,16.11,0,0,0,19.34,0.81,0,0.81,0,0,0,1.61,2.42,2.42,0.81,1.61,70.9,0,12.09,0,0,0,0,0,5.64,0,35.45,0,0,0.81,1.61
 48-58,0,0,0,0,1.15,1.72,13.2,0.57,0,0,16.07,0,0,0.57,0.57,0,0,1.15,1.15,4.59,0,0.57,49.35,0,9.18,0,0,0.57,0,0,2.87,0,35.58,0,0,0,1.72
 60-70,0,0,0,0,2.94,0.98,18.65,0,0,0,12.76,0.98,0,0,0.98,0.98,0.98,6.87,0,2.94,0,0,58.89,0,16.69,1.96,0,0.98,0,0,0.98,0,29.45,0,0,1.96,3.93
 72-82,0,0,1.96,0,1.96,0.98,29.45,0.98,0,1.96,24.54,2.94,0,3.93,0,0,0,30.43,0,4.91,0,0,55.95,0,35.34,3.93,0,0,0,0,0,0,13.74,1.96,0,0,1.96
 84-94,0,0,1.06,0,3.19,2.12,14.87,0,0,0,22.3,2.12,0,6.37,0,1.06,0,69.03,0,7.43,1.06,2.12,42.48,0,27.61,4.25,0,2.12,0,0,5.31,0,14.87,0,0,0,1.06
 96-106,0,0,2.19,0,6.56,1.09,15.3,0,0,0,15.3,6.56,2.19,7.65,0,0,3.28,46.99,0,4.37,0,0,36.06,0,42.62,5.46,0,1.09,0,0,4.37,0,18.58,4.37,0,3.28,0
108-118,0,0,1.53,0.77,1.53,0.77,9.96,0,0,0,14.55,3.06,0,6.13,1.53,0.77,0,90.38,0,4.6,0,0,35.23,0,33.7,3.83,0,0.77,0,0,4.6,0,12.26,2.3,0,3.06,1.53
120,0,0,0,0,7.84,0,15.68,1.96,1.96,0,9.8,7.84,0,7.84,1.96,0,1.96,68.59,0,5.88,0,7.84,43.12,0,25.48,1.96,0,5.88,0,0,1.96,0,3.92,0,1.96,0,0
