stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,42.06,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,22,0,0,6,16,0,0,1,0,0,0,3,0,3,0,2,0,0
 24-34,0,0,0,4.93,0.82,0,0,0,1.64,0,0.82,0,2.46,0,0,0.82,0,0,70.59,0.82,0,11.49,45.15,0,0,0.82,0,0,0.82,0,0,9.03,0,8.21,0,0
 36-46,0,0,0,4.83,0,4.03,0,0,1.61,0.81,0,0,3.22,0,0,0.81,0,0,182.08,0,2.42,20.14,86.21,0,0.81,0,0,0,0,0,0,14.5,0,5.64,0,0.81
 48-58,0,0,0,2.3,0.57,14.92,0,0,6.89,4.02,0,0,0,0,0,1.72,0.57,0,321.9,0,5.16,16.64,76.89,0,0,0,0,0,0.57,0,0,14.92,1.72,9.18,0,1.72
 60-70,0,0,0,0.98,0,15.7,0,0,7.85,8.83,0,0,1.96,0,0,8.83,0,0,409.29,0,6.87,9.82,46.13,0,0,0,0,0.98,0.98,0,0,11.78,7.85,5.89,1.96,0
 72-82,0,0,0,1.96,0,27.49,0.98,0,12.76,19.63,0,0,6.87,0,0,7.85,0,0,508.5,0,6.87,18.65,65.77,0,0,0.98,0,3.93,0,0,0,6.87,8.83,16.69,8.83,1.96
 84-94,0,0,0,4.25,0,33.99,0,2.12,4.25,10.62,1.06,0,4.25,2.12,0,11.68,0,0,321.8,0,7.43,16.99,30.8,1.06,1.06,0,0,1.06,1.06,0,1.06,1.06,4.25,19.12,4.25,1.06
 96-106,0,0,0,4.37,1.09,21.86,0,1.09,4.37,7.65,2.19,0,3.28,2.19,0,14.21,0,0,266.65,0,6.56,10.93,34.97,0,0,0,0,4.37,1.09,0,0,0,6.56,9.84,3.28,3.28
108-118,0,0,0,6.13,0.77,11.49,0,0.77,2.3,14.55,2.3,0,0.77,0,0.77,25.28,0.77,0.77,218.3,0,3.83,6.13,26.81,0,0,0,0,3.06,0,0,0,1.53,0,11.49,1.53,6.89
120,0,0,0,1.96,1.96,17.64,0,3.92,3.92,11.76,0,0,0,0,0,11.76,0,0,190.1,0,7.84,9.8,39.2,0,0,0,0,13.72,3.92,0,0,0,5.88,7.84,1.96,1.96
