stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,26.36,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,24.52,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,9.44,0,0,0,22.03,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,2,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,1,1,0,0,1,35,1,3,1,0,0
 24-34,0,0,4.1,2.46,1.64,0,0,2.46,0,0,2.46,0.82,0,8.21,0,3.28,1.64,0,0,3.28,0,9.85,0,5.75,0.82,0,4.93,27.91,0.82,0.82,1.64,0,0.82
 36-46,0,0,1.61,1.61,0.81,0,0,3.22,0.81,0.81,1.61,0,0,3.22,0.81,4.03,0,0.81,0.81,4.83,0,19.34,0,7.25,0,0,5.64,16.92,0,0,1.61,0,0
 48-58,0,0,1.15,0,2.87,0,0,6.31,0,1.15,1.72,2.3,0.57,1.72,0.57,0.57,0.57,2.3,0,1.72,0,6.89,0,1.72,0.57,0,2.3,8.61,0,0,0.57,0,0.57
 60-70,0,0,1.96,0,3.93,0,0,14.72,0,4.91,2.94,0.98,0,2.94,0,5.89,1.96,0.98,0,3.93,0,15.7,0,4.91,0,0,1.96,7.85,0,0,0,0,0
 72-82,0,0,5.89,0,0.98,0,0.98,5.89,0,9.82,7.85,2.94,0,4.91,0,7.85,0.98,0.98,0,9.82,0.98,9.82,0,6.87,2.94,0,4.91,2.94,0,0,0,3.93,0.98
 84-94,0,0,8.5,0,5.31,0,0,22.3,1.06,0,16.99,2.12,0,10.62,0,11.68,2.12,3.19,1.06,6.37,0,8.5,0,6.37,1.06,0,18.05,9.56,0,0,1.06,15.93,0
 96-106,0,0,8.74,1.09,5.46,1.09,1.09,9.84,0,3.28,18.58,1.09,0,10.93,0,7.65,2.19,2.19,2.19,7.65,0,5.46,0,10.93,1.09,0,16.39,7.65,0,0,2.19,18.58,2.19
108-118,0,0,3.06,0,6.89,0,0.77,13.02,1.53,5.36,21.45,0,0,10.72,0,6.89,2.3,4.6,1.53,6.89,0,9.96,0,3.06,0,0,6.89,5.36,0,0,0,19.92,0.77
120,0,0,5.88,0,11.76,0,5.88,13.72,0,13.72,29.4,0,0,9.8,0,7.84,3.92,1.96,0,5.88,0,9.8,0,9.8,0,0,11.76,5.88,0,0,0,11.76,1.96
