stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,190,33,1,0,0,0,0
 24-34,0,0,0,0,4.1,31.19,0.82,0,0.82,0,0,0.82,0.82,0,0,0,0,3.28,0,13.95,22.16,0.82,0,0,0.82,0,0,122.31,68.13,1.64,0,0.82,0,0
 36-46,0,0,0,0,0.81,46.73,0.81,0,1.61,0,0,0,0,0,0,0,0,2.42,0,14.5,16.92,0.81,0,0,0.81,0.81,1.61,70.09,3.22,5.64,0,0,0,0
 48-58,0,0,0.57,0,5.16,48.2,0,0,1.15,0,0,0,0,0,0,0,0.57,3.44,0,4.59,21.8,0,0,0,0,0,0,20.08,0,5.16,0,0.57,0,0
 60-70,0,0,0,0,2.94,29.45,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,6.87,6.87,0,0.98,0,0,0,0,16.69,0,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,5.89,43.19,0,0,1.96,0,0,0,0,0,0,0,0,5.89,0,10.8,10.8,0,0,0,0.98,0,0.98,7.85,0,1.96,1.96,0.98,0,0.98
 84-94,0,1.06,0,0,1.06,59.47,1.06,0,5.31,0,0,0,1.06,0,0,0,0,10.62,1.06,10.62,14.87,0,1.06,0,3.19,0,0,25.49,0,0,1.06,0,1.06,0
 96-106,1.09,4.37,2.19,0,16.39,146.44,2.19,1.09,5.46,2.19,0,0,0,1.09,0,2.19,0,12.02,2.19,14.21,26.23,1.09,4.37,0,4.37,0,0,27.32,0,1.09,0,4.37,0,1.09
108-118,0,0.77,1.53,1.53,13.79,159.32,0,0,2.3,0.77,0,0,3.06,0,0,0,0,5.36,0,25.28,18.38,0,0,0.77,1.53,0,0,35.23,0,0.77,0,1.53,0,0
120,0,5.88,0,0,5.88,117.59,0,0,1.96,0,0,0,0,0,3.92,0,0,11.76,0,17.64,13.72,0,0,0,0,0,0,5.88,0,1.96,0,0,5.88,0
