stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,13,1,4,0,0,1,1,0,1,0,0,6,0,3,84,0,2,0,3,1,6,1,1,14,0,0,0,0
 24-34,0,0,0,32.83,0,0,4.93,0,0,0,0,0,10.67,0,3.28,179.77,0,0,0,0,0,0,0,0,34.48,0,2.46,0,0
 36-46,0,3.22,0,41.89,0.81,0,0.81,0,0,0.81,0,0,8.86,0,1.61,145.83,0.81,0,1.61,0,0.81,0,0,0,20.14,0,0,0,0
 48-58,0,2.3,0.57,60.82,0,0,4.02,0,0,0,0.57,0.57,8.03,1.72,1.15,118.78,0,0.57,0.57,0,0.57,0,0,0,20.66,0,0.57,0,0
 60-70,0,6.87,0,70.67,0,0,10.8,0,0.98,0,0,0.98,14.72,0.98,0.98,137.41,0,0,0,0,0,0,0,0,22.58,0,1.96,0,0.98
 72-82,0,1.96,0.98,31.41,0,0,5.89,0,0,0,0,0,3.93,1.96,0,48.1,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0
 84-94,0,0,1.06,19.12,0,2.12,4.25,0,2.12,0,1.06,1.06,8.5,2.12,0,31.86,0,0,1.06,0,0,0,0,0,5.31,1.06,1.06,1.06,0
 96-106,0,1.09,0,13.11,0,0,2.19,0,0,0,0,0,3.28,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,20.68,0,0,2.3,0,0,0,0.77,0,1.53,0,0,36,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,29.4,1.96,0,5.88,0,0,0,0,0,1.96,1.96,3.92,35.28,0,0,0,0,0,0,0,0,0,0,0,0,0
