stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,21.03,7.89,0,0,0,42.06,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,254.99,7.89,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,78.67,0,9.44,0,91.26,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,1098.29,47.2,0,0,305.26,0,0,0,3.15,28.32,0,18.88,12.59,0,0,0,0,0
 14-21,0,0,9,101,9,0,48,0,0,0,22,4,0,9,0,1,0,0,2,1,68,0,0,57,349,25,6,8,4,0,0,0,31,1,13,67,240,0,0,2,0,1
 24-34,0.82,0,0.82,29.55,3.28,0,67.31,2.46,0.82,2.46,40.22,1.64,0,13.95,0,2.46,1.64,3.28,2.46,16.42,129.7,0,0.82,71.41,605.79,5.75,4.1,8.21,0,0,2.46,0,0,5.75,5.75,27.09,223.27,0,0,29.55,0,3.28
 36-46,0,0,0.81,9.67,1.61,0,66.06,7.25,2.42,4.83,57.2,2.42,0,8.06,0,0,3.22,0,0.81,22.56,118.43,0,3.22,29.81,398.81,4.83,0.81,4.03,0,1.61,1.61,0,0,2.42,2.42,0.81,179.66,0,0,14.5,0,1.61
 48-58,0,0,0,12.05,0,0,99.27,13.77,1.15,5.74,77.46,0.57,0,11.48,0,0.57,2.3,1.15,0,28.69,173.29,0,6.31,30.41,193.95,1.72,1.15,3.44,0,1.15,0,0,0,2.3,0.57,0,129.68,0,0.57,6.31,0,2.3
 60-70,0,0,0,6.87,0,0,69.69,17.67,1.96,3.93,124.65,1.96,0,2.94,0,2.94,1.96,0.98,0,7.85,159.01,0,5.89,27.48,109.93,3.93,0,3.93,0,2.94,0,0,0,0,2.94,0,58.89,0,7.85,11.78,1.96,2.94
 72-82,0,0,0,5.89,0,0,84.42,12.76,0.98,6.87,223.82,0.98,0,3.93,0,0.98,2.94,4.91,0.98,17.67,233.64,0,14.72,35.34,150.19,0,0,5.89,0,3.93,0.98,0,0,1.96,0.98,0,23.56,0,6.87,14.72,13.74,3.93
 84-94,0,0,0,15.93,1.06,0,101.96,11.68,2.12,3.19,144.44,1.06,0,6.37,0,3.19,6.37,0,4.25,41.42,120.01,0,19.12,20.18,105.14,4.25,1.06,5.31,0,3.19,4.25,1.06,0,1.06,2.12,0,27.61,0,11.68,14.87,18.05,8.5
 96-106,0,0,0,9.84,2.19,0,92.89,20.76,1.09,2.19,147.53,1.09,0,3.28,1.09,1.09,4.37,1.09,2.19,36.06,107.1,0,17.49,26.23,83.06,1.09,5.46,9.84,0,6.56,1.09,0,0,5.46,4.37,0,19.67,1.09,10.93,10.93,24.04,4.37
108-118,0,0,0,11.49,0.77,0.77,72.77,19.15,2.3,8.43,137.87,0.77,0,3.83,0.77,2.3,7.66,1.53,3.83,62.81,111.06,0,5.36,20.68,114.89,2.3,2.3,11.49,0,5.36,2.3,0,0,3.83,13.02,0,13.79,0,9.96,7.66,10.72,9.96
120,0,0,0,9.8,1.96,0,60.75,25.48,1.96,3.92,125.43,0,0,5.88,7.84,1.96,1.96,0,0,19.6,80.35,1.96,7.84,15.68,107.79,0,0,11.76,0,5.88,0,0,0,9.8,1.96,0,25.48,0,3.92,9.8,17.64,7.84
