stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,365.05,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,6,0,0,1,0,6,0,1,0,1,0,0,0,0,9,0,0,1,22,18,0,271,1,0,134,0,0,58,108,0,0,0,0
 24-34,0,0,0,0,2.46,2.46,3.28,0,2.46,26.27,12.31,0,0,0,0,0,0,0,0,18.88,0,0,38.58,24.63,13.13,0,0,0,0,0.82,0.82,0.82,148.57,170.74,0,0,1.64,0
 36-46,0,0,0,0,3.22,0,0,0,0.81,64.45,8.86,2.42,0,0.81,0,0,0,0,0,58.01,0,0,40.28,20.95,0,0,0,0,0,0.81,0,5.64,3.22,142.6,0,0,0,0
 48-58,0.57,0,0,0,4.02,0,7.46,1.15,4.59,83.2,8.61,1.72,0,0,0,0.57,0,1.15,0,103.86,0,3.44,29.84,23.53,0,0,0,1.15,0,0,0,4.02,0.57,155.5,0,0,0.57,1.72
 60-70,0,0,0,0,3.93,0,6.87,2.94,5.89,102.08,7.85,1.96,0,0,0,0,0,0,0,86.37,0,4.91,17.67,25.52,0,0,0,1.96,0,0,0,1.96,0,108.95,0,0,0,5.89
 72-82,0,0,0.98,0,8.83,0,12.76,0.98,1.96,158.05,25.52,5.89,0,0.98,0,0,0,0,0,208.11,0.98,7.85,25.52,28.47,0,0.98,0,9.82,0,0,0,0,0,96.2,0,0.98,0,20.61
 84-94,0,0,1.06,0,5.31,1.06,28.68,1.06,9.56,129.57,15.93,18.05,0,0,0,3.19,1.06,1.06,0,165.68,0,14.87,23.36,15.93,0,0,0,14.87,0,0,0,1.06,0,83.9,0,1.06,0,21.24
 96-106,0,0,1.09,0,14.21,0,12.02,1.09,5.46,104.91,13.11,18.58,0,0,0,0,0,0,1.09,153,1.09,6.56,17.49,31.69,0,1.09,0,22.95,0,0,0,0,0,32.79,0,0,2.19,19.67
108-118,0,0,0,0,9.19,2.3,7.66,1.53,6.89,104.94,9.96,16.09,0,2.3,0,0,0,0.77,0,121.79,1.53,4.6,11.49,25.28,0.77,0,0,16.85,0,0,0,1.53,0,32.94,0.77,0,0.77,12.26
120,0,0,0,0,15.68,0,3.92,1.96,3.92,82.31,3.92,7.84,0,0,0,0,0,0,0,145.02,0,1.96,17.64,9.8,0,1.96,0,15.68,0,0,0,0,0,17.64,0,0,1.96,13.72
