stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,10,92,24,45,0,0,0,19,4,0,2,0,3,0,0,1,0,47,0,35,493,12,3,7,7,0,6,75,6,4,112,195,0,0,4,0,0
 24-34,0,4.1,27.09,1.64,51.71,0,3.28,2.46,9.03,4.93,0,2.46,0,3.28,0,3.28,0,2.46,57.46,0.82,30.37,546.69,4.93,5.75,4.1,0,0,7.39,0,4.93,1.64,13.13,117.38,0,0,18.06,0,0.82
 36-46,0,0,16.11,0,68.48,2.42,0.81,0.81,16.11,1.61,0,1.61,0,2.42,0,0.81,0,0.81,48.34,1.61,11.28,361.75,5.64,7.25,4.03,0,0,3.22,0,0.81,2.42,0,85.4,0,0.81,15.31,0,0.81
 48-58,0,0,5.74,0,50.49,2.3,1.15,1.15,18.94,0,2.87,1.72,0,0.57,1.15,1.15,0,0.57,36.72,3.44,5.74,188.21,1.15,2.87,1.15,0,0,0.57,0,0.57,1.15,0,39.02,0,0,2.87,0,0.57
 60-70,0,0,8.83,0,18.65,1.96,0.98,1.96,9.82,0.98,1.96,0.98,0.98,0,0.98,1.96,0.98,0,24.54,0,1.96,83.43,1.96,0.98,0,0,0.98,1.96,0,0.98,0.98,0,18.65,0,0,1.96,0,0
 72-82,0,0,0.98,0.98,17.67,0,1.96,0,5.89,0,0.98,0,0.98,0.98,0,0,0,0,7.85,0.98,2.94,34.36,2.94,0,1.96,0,0,0,0,0.98,1.96,0,3.93,0.98,0,1.96,0,0.98
 84-94,0,1.06,3.19,0,5.31,0,1.06,0,4.25,1.06,1.06,0,0,0,0,0,0,1.06,6.37,0,0,9.56,1.06,1.06,4.25,0,0,0,0,0,0,0,4.25,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,0,7.65,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,2.3,0,3.83,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0,3.06,0,0.77,4.6,0,0,0,0,0,0,0,0.77,0,0,0,0,0,2.3,0,0
120,0,0,11.76,1.96,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,19.6,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
