stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,674.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,15.77,0,0,47.32,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,339.1,23.66,0,0,155.09,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,320.99,18.88,0,0,122.73,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,29,0,1,0,0,4,0,2,0,1,6,15,0,0,1,0,0
 24-34,0,0,0,0,4.1,0.82,4.93,0,0,0.82,1.64,0,0,0,0.82,0,0.82,0,0.82,4.93,0,0,2.46,50.89,4.1,1.64,0.82,0,0.82,0,0,0.82,0,0,18.06,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,7.25,0,0,0,4.03,0,0,0,0,0,0,0,0,8.06,0,0,0.81,56.4,0,2.42,0,0,0.81,0,0,0,0,0,15.31,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,17.21,0,0,0.57,1.15,0,0,0.57,0.57,0,0,0,0.57,13.77,0,0.57,2.87,50.49,0,1.15,0,0,1.15,0,0,0,0,0,13.77,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,12.76,0,0,0,6.87,0,0,0,0,1.96,0,0,0,10.8,0,0.98,0.98,44.17,0,0,0,0,1.96,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,18.65,0,0,0,10.8,0.98,0,0.98,1.96,1.96,0,0,0,10.8,0,0,0.98,41.23,0,0,0.98,0,2.94,0,0,0,0,0,3.93,0,0,3.93,0,0
 84-94,0,0,0,0,1.06,3.19,12.74,0,0,1.06,4.25,2.12,0,0,6.37,0,0,0,0,15.93,0,1.06,1.06,21.24,0,2.12,1.06,0,6.37,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,1.09,1.09,9.84,0,0,1.09,4.37,0,0,0,9.84,0,0,0,0,12.02,1.09,0,2.19,12.02,1.09,0,0,0,4.37,0,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,1.53,0,5.36,0.77,0.77,0.77,2.3,0.77,0,0,3.83,0.77,0,1.53,0,7.66,0,0,0,16.09,0.77,0.77,3.06,0,6.13,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,7.84,0,0,0,3.92,1.96,0,0,9.8,0,0,0,0,9.8,0,0,1.96,17.64,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,1.96,0
