stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,2,6,0,0,1,0,0
 24-34,2.46,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0.82,63.21,0,0.82,0,0,0,0,0,40.22,0,0,0,0,0
 36-46,0.81,0,0,0,14.5,0.81,0,2.42,0,0,0,0,0.81,0,0,136.96,0,0,0,0,0,0,0,49.15,0,0,0,0,0
 48-58,0,0,0,0,98.69,0.57,0,10.9,0,0,0.57,0,1.72,0,0,204.27,0,0.57,0.57,0,0.57,0,0,72.3,0,0,0,0,0.57
 60-70,0,0.98,0,0,346.48,0.98,0,16.69,0,0,0,0,6.87,0,0.98,381.81,0.98,0,0,0,1.96,0,0,79.5,0,0,0,0,0.98
 72-82,0.98,2.94,0.98,0,458.44,0.98,0,19.63,0.98,0.98,0,0,12.76,0,0,367.14,0,0,0,0.98,0.98,0,0,52.03,0.98,0,2.94,0.98,0
 84-94,2.12,4.25,0,0,211.35,0,0,10.62,0,0,0,0,16.99,0,2.12,191.17,0,0,0,0,0,0,0,24.43,0,0,0,1.06,0
 96-106,0,1.09,0,0,207.64,0,0,18.58,0,0,0,1.09,4.37,0,0,184.69,0,1.09,0,1.09,1.09,1.09,0,12.02,1.09,1.09,1.09,1.09,1.09
108-118,0,0.77,0.77,0.77,147.83,0,0.77,18.38,0,0,0,0,2.3,0,0,188.43,0,0.77,0,1.53,1.53,0,0,5.36,0.77,0,0,0,0.77
120,1.96,0,1.96,0,123.47,0,0,9.8,1.96,0,0,0,5.88,1.96,0,203.82,0,0,0,0,1.96,0,0,13.72,0,1.96,0,0,0
