stage,axial,blastomeres,endoderm,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,13.14,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,6.57,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,3.44,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
