stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,254.99,0,0,10.51,0,0,5.26,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,44.69,299.67,0,0,184.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,15.73,0,169.94,0,0,18.88,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,289.52,682.89,0,0,780.45,0,0,18.88,22.03,0,18.88,3.15,0,0,0,0,0
 14-21,0,0,2,47,303,14,1,0,0,0,65,28,0,7,0,0,0,0,0,55,2,0,173,61,530,1,0,16,0,2,184,2,37,1147,489,0,0,0,0,1
 24-34,0.82,0,0,2.46,22.98,0,7.39,5.75,0,0.82,42.68,0,0,2.46,0,0,0,0,0.82,48.43,0.82,1.64,78.8,68.13,250.36,0,0,0,1.64,2.46,0.82,1.64,4.93,57.46,192.9,0,0,4.93,0,0.82
 36-46,0,0,0,0,2.42,1.61,8.86,5.64,0,1.61,6.45,0,0,14.5,0,0,0,0,0,52.37,0,12.09,24.17,39.48,211.09,0,0,0,0,0.81,0,0,0.81,0,66.06,0,1.61,1.61,0.81,0
 48-58,0,0,0,0,1.72,0,20.08,5.16,0,0.57,11.48,0,0,10.9,0,0,0.57,0,0.57,156.65,0,22.95,20.08,37.3,135.42,0.57,2.87,0,3.44,1.72,0,0.57,1.72,0,44.18,0,2.3,1.72,0,0
 60-70,0,0,0,0,6.87,0,34.35,7.85,1.96,1.96,17.67,1.96,0,12.76,0.98,2.94,0,0,2.94,389.66,0,58.89,19.63,29.45,80.48,0,9.82,0,4.91,0,0,0,0,0,11.78,0,19.63,1.96,16.69,0
 72-82,0,0,0,0,11.78,0.98,50.06,4.91,0,1.96,30.43,3.93,0,20.61,0.98,2.94,0,0.98,0,659.68,0,84.42,31.41,51.05,74.61,0,5.89,0,13.74,4.91,0,0,0,0,19.63,0,50.06,1.96,48.1,1.96
 84-94,1.06,0,1.06,0,23.36,1.06,56.29,3.19,3.19,0,13.81,10.62,0,18.05,2.12,5.31,1.06,0,2.12,491.72,0,80.71,21.24,26.55,94.52,0,8.5,1.06,5.31,0,0,0,1.06,0,6.37,1.06,53.1,3.19,52.04,0
 96-106,1.09,0,3.28,0,27.32,1.09,39.34,8.74,3.28,2.19,21.86,19.67,0,25.14,1.09,8.74,0,0,1.09,365.01,0,71.04,26.23,44.81,88.52,0,13.11,0,15.3,3.28,0,1.09,0,0,9.84,1.09,32.79,2.19,72.13,1.09
108-118,0.77,0,0,0,22.21,0.77,30.64,5.36,3.06,2.3,16.85,8.43,0,16.85,0.77,8.43,0.77,0,0.77,303.32,0,43.66,16.85,32.94,72,0,3.83,0,14.55,0,0,0,1.53,0,6.13,0,19.92,3.06,44.43,0.77
120,1.96,0,0,0,23.52,0,15.68,1.96,1.96,0,5.88,11.76,0,7.84,0,5.88,0,1.96,0,201.86,0,47.03,17.64,35.28,84.27,0,5.88,0,9.8,0,0,0,1.96,0,5.88,0,35.28,5.88,47.03,0
