stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,1330.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,31.54,0,42.06,0,0,0,94.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,914.79,31.54,0,0,336.48,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,6.29,0,66.09,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,371.34,12.59,0,0,223.43,0,0,0,0,25.18,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,11,35,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,7,98,0,0,0,3,0,0,0,4,0,6,31,0,0,11,0,3
 24-34,0,0,0,0,4.93,4.93,0,25.45,0,0,0,4.1,0,0,1.64,0,1.64,0.82,0.82,0,17.24,34.48,0,0,16.42,229.84,1.64,9.03,2.46,0,0,0,0,0,3.28,0.82,55.82,0,0,40.22,0,9.03
 36-46,0,0,0,0,4.83,2.42,0,132.13,0,0,1.61,20.95,0,0,2.42,0,0,0.81,0.81,0.81,9.67,30.62,0.81,0.81,11.28,266.68,0,9.67,0.81,0,0,0.81,0,0,0,0,48.34,0,0,24.98,0,8.86
 48-58,0,0,0,0,6.31,1.15,0,282.89,0,0,12.62,45.9,0,0,2.3,0,0,1.72,0.57,0,12.05,45.33,0,2.3,6.89,281.16,0.57,5.74,0.57,0,0,0.57,0,0,1.15,0,55.09,0,0,28.12,0,13.77
 60-70,0.98,0,0,0,2.94,0.98,0,335.68,0.98,0.98,10.8,76.56,0,0,2.94,1.96,0.98,0.98,0,0,1.96,57.91,0,1.96,2.94,322.92,1.96,1.96,1.96,0,1.96,2.94,0,0,0,0,58.89,0,0,24.54,0,13.74
 72-82,0,0,0.98,0,8.83,7.85,0,351.43,0.98,1.96,13.74,161.97,1.96,0.98,0.98,3.93,0,3.93,0,2.94,5.89,86.39,0.98,1.96,12.76,391.68,0.98,7.85,3.93,0,0.98,1.96,0,0,0.98,0,67.73,0,1.96,40.25,2.94,7.85
 84-94,0,0,1.06,0,3.19,6.37,0,231.52,0,1.06,8.5,95.58,2.12,0,1.06,6.37,3.19,3.19,2.12,2.12,6.37,60.54,0,7.43,7.43,226.21,0,4.25,2.12,1.06,2.12,3.19,0,0,0,0,33.99,1.06,3.19,40.36,2.12,7.43
 96-106,0,0,0,0,2.19,4.37,1.09,182.51,0,1.09,5.46,103.82,3.28,0,2.19,7.65,1.09,3.28,0,3.28,2.19,55.74,0,2.19,2.19,232.78,0,8.74,2.19,0,2.19,3.28,0,0,1.09,0,29.51,0,0,26.23,0,5.46
108-118,0,0,0,0,4.6,3.83,0.77,156.26,0,1.53,5.36,105.7,3.06,0,1.53,6.13,0.77,6.13,0,0.77,12.26,43.66,0,0.77,4.6,211.41,1.53,4.6,3.06,0,3.06,3.06,0,0,0,0,18.38,1.53,2.3,28.34,1.53,3.06
120,0,0,0,0,5.88,5.88,0,131.31,0,3.92,1.96,143.06,3.92,0,1.96,3.92,0,1.96,0,1.96,5.88,37.24,0,0,9.8,221.46,0,3.92,3.92,0,0,0,0,0,1.96,0,15.68,1.96,0,31.36,1.96,1.96
