stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,16,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,157.6,0,0,0,0,0,0.82,0.82,49.25,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,210.28,1.61,0,0,0.81,0,0,0.81,53.98,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,14.35,0.57,0,0,4.02,0,0,0.57,0,0,0.57,0,4.02,0,0,1.72,246.16,0,0.57,0,0.57,0.57,0,0,39.59,0,0,0,0,0.57
 60-70,0,0,1.96,0,5.89,0,49.08,0.98,0,0,5.89,1.96,0.98,0,0,0,1.96,0,5.89,0.98,0,1.96,475.06,0,0,0,1.96,1.96,0,0,34.35,0,0,0,0,0.98
 72-82,0,0,14.72,0,2.94,4.91,94.24,0,0.98,0,21.6,0,0,0,0,0.98,3.93,1.96,9.82,0,0,5.89,618.45,0.98,0.98,0,2.94,2.94,0,0,22.58,0.98,0.98,0,0,0
 84-94,0,0,6.37,0,7.43,0,104.08,1.06,1.06,0,21.24,1.06,2.12,0,0,1.06,1.06,0,9.56,0,0,3.19,303.74,0,3.19,0,3.19,0,1.06,0,10.62,0,2.12,0,1.06,1.06
 96-106,0,0,16.39,0,4.37,4.37,59.01,0,0,1.09,13.11,4.37,0,1.09,1.09,0,2.19,0,7.65,0,0,1.09,335.5,0,1.09,0,2.19,1.09,0,0,10.93,0,2.19,2.19,0,1.09
108-118,0,0,12.26,0,6.13,0,77.36,0.77,0,0.77,8.43,3.06,0,0,0,0,3.06,0,6.89,0,0.77,3.06,454.22,0,2.3,0,1.53,0.77,0,0,8.43,0,0.77,0.77,0,0.77
120,0,0,13.72,0,1.96,0,66.63,3.92,0,0,15.68,0,0,0,0,0,0,1.96,1.96,0,0,1.96,542.86,1.96,0,0,0,0,0,0,9.8,0,3.92,0,0,0
