stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,81.49,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,31.47,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,4,14,0,0,0,0,0,0,5,0,2,10,0,0,0
 24-34,0,0,0,0.82,0,0,6.57,0,0,0.82,0,0,0.82,0,0,0.82,0,9.85,0,4.1,57.46,1.64,0.82,0.82,0,0,1.64,0,0,0.82,11.49,0,0,0
 36-46,0,0,0,0.81,0,0,3.22,0,0.81,1.61,0,0,0.81,0,0,0.81,0,11.28,0,4.83,37.87,0,0,0,0,0,1.61,0,0,0,5.64,0,2.42,0.81
 48-58,0,0,0,0,0,0,12.05,0,0.57,1.72,0,0.57,0,0,0.57,0,0,4.02,0,1.15,17.21,0,0,0,0,0,1.15,0,0.57,0,5.16,0,0,0
 60-70,0,0,0,2.94,0,0,15.7,0,0,4.91,0,0,0,0.98,0,0,0,8.83,0,0.98,14.72,0.98,0,0,0,0.98,1.96,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,1.96,0,0,4.91,0,0.98,3.93,0,0,0,0,0,0,0,7.85,0,0,10.8,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,3.19,0,0,3.19,0,0,0,0,0,1.06,0,0,0,0,6.37,1.06,2.12,4.25,1.06,0,0,0,0,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,1.09,5.46,0,0,0,0,0,0,0,4.37,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,3.83,0,0.77,4.6,0,0,0.77,0,0,0,0.77,0,0,0,1.53,0,0,7.66,0.77,0,0,0,0,0.77,0,0,0,1.53,0.77,0,0
120,0,0,0,1.96,0,0,0,1.96,0,7.84,0,0,1.96,0,1.96,0,0,1.96,3.92,1.96,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0
