stage,axial,blastomeres,endoderm,eye,fast_muscle,fin_epithelia,gut,hatching_gland,heart,iridophores,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord
  3-4,237.2,4296.01,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0
  5-6,134.85,1489.5,0,0,0,0,0,6.13,0,0,55.17,0,12.26,18.39,0,0,0,0
  7-9,23.66,15.77,15.77,49.95,0,0,0,10.51,0,0,362.76,5.26,118.29,0,5.26,0,0,0
 10-12,0,0,15.73,15.73,0,0,0,3.15,0,0,69.23,6.29,44.06,0,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,1,0,1,0,5,0,1,0,0,2,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
