stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,10.51,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,4,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,141,1,0,0,0,0,0,0,0,1,148,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,8.21,0,0,7.39,0,0,0.82,0,0.82,0,0,0,0,10.67,0,0,0.82,801.98,0.82,9.03,0.82,0,0,0.82,0,0,0.82,343.94,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,34.64,0,0,12.09,0,0,0,0,0,0,0,0,0,8.06,0,0,1.61,1653.23,0,17.72,0,0,0,3.22,0.81,0,0,592.97,0,0,0.81,0,0.81
 48-58,0,0,0,3.44,0.57,0,119.93,1.15,0,29.84,0,0,0.57,1.15,0,0,0,0,0,10.9,0,0.57,0.57,1533.21,0.57,3.44,0,0,0.57,1.72,0.57,0,0,480.27,0,0,1.15,0,0
 60-70,0,1.96,0,3.93,0,0,275.81,0.98,0.98,22.58,1.96,0.98,0,0,0,0,0.98,0,0,11.78,0,0,0.98,1826.61,0.98,6.87,1.96,0,0.98,0,0,0,0,266.97,0,1.96,0,0,0.98
 72-82,0,1.96,0,5.89,2.94,0,238.54,0,0,35.34,1.96,0,0,0.98,0,0.98,0,0,0.98,19.63,0,0,0.98,1168.18,0,6.87,0.98,0,0.98,2.94,0,0,0,121.73,1.96,0,0.98,0,0.98
 84-94,0,0,0,3.19,1.06,0,179.48,0,0,25.49,1.06,0,0,4.25,0,0,0,0,0,9.56,0,2.12,1.06,615.98,0,6.37,0,0,0,1.06,1.06,0,0,64.78,0,0,0,0,0
 96-106,0,0,0,6.56,0,0,96.17,0,1.09,16.39,1.09,0,1.09,0,0,0,0,0,0,17.49,0,0,2.19,407.63,0,3.28,0,0,0,3.28,0,0,0,26.23,1.09,1.09,0,0,1.09
108-118,0,0,0.77,5.36,0.77,0,72.77,0,0.77,13.79,1.53,0,0,0.77,0,1.53,0,0,0,4.6,1.53,0,0,425.11,0,6.89,0,0,0.77,1.53,0,0.77,0,14.55,0.77,0.77,0,0,0
120,0,0,0,11.76,0,1.96,90.15,0,1.96,25.48,0,0,0,1.96,1.96,0,0,1.96,0,13.72,0,0,1.96,503.66,0,0,1.96,0,0,0,0,0,0,17.64,0,0,1.96,1.96,0
