stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,0,0,0.81,0,0,12.89,0,5.64
 48-58,0,0,5.16,0.57,1.15,0,0,0.57,0,35,0,1.15
 60-70,0,0,22.58,0,8.83,0,0,2.94,0,122.69,0,12.76
 72-82,0.98,0,53.99,0,2.94,0,0,5.89,0,113.87,0.98,11.78
 84-94,0,0,37.17,1.06,5.31,0,0,1.06,0,64.78,0,7.43
 96-106,3.28,0,39.34,0,5.46,3.28,0,5.46,0,78.68,0,5.46
108-118,0,0.77,21.45,0,6.13,2.3,0,1.53,0.77,64.34,0,3.06
120,0,0,33.32,0,5.88,3.92,0,5.88,0,90.15,0,3.92
