stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,25.18,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,5,4,0,0,0,1,0,0,1,1,0,0,0,0,5,0,0,2,45,2,0,0,1,0,4,0,6,3,1,7,11,0,0,1,0,0
 24-34,0,0,0.82,9.03,0.82,32.01,0,0.82,1.64,2.46,0,0,1.64,8.21,0,0.82,1.64,1.64,15.6,1.64,0,6.57,160.89,0,1.64,2.46,0,0,5.75,0,0,1.64,1.64,4.1,19.7,0,0,4.93,0,3.28
 36-46,0,0,0,2.42,0,28.2,0.81,0,0,7.25,0,0,0.81,3.22,0.81,1.61,0.81,0,12.89,0,0,5.64,106.35,0,0,0.81,0,0,9.67,0,0,0.81,0.81,0.81,23.36,0,0,2.42,0,0.81
 48-58,0,0,0,2.3,1.15,47.05,0.57,0.57,1.15,7.46,0,0,1.72,0.57,1.15,0.57,0.57,0.57,19.51,0.57,0.57,4.02,75.74,0,1.15,1.15,0,0.57,4.02,0,0,0.57,1.15,0,18.94,0,0,1.15,0,1.15
 60-70,0,0.98,0,9.82,3.93,95.21,0.98,0.98,2.94,15.7,0,0.98,1.96,1.96,0.98,0.98,1.96,0,38.28,0,0,1.96,147.23,0.98,0.98,0,0,0.98,5.89,0,0,0.98,0,0,18.65,0,0,3.93,0.98,0.98
 72-82,0,0.98,0,9.82,1.96,56.94,0.98,0.98,0.98,8.83,1.96,1.96,3.93,2.94,0,2.94,0,0,29.45,1.96,1.96,4.91,105.04,0,1.96,2.94,0,0,6.87,0,0,0,0,0,4.91,0,0.98,4.91,2.94,0.98
 84-94,0,0,0,16.99,4.25,37.17,0,0,4.25,13.81,5.31,2.12,3.19,3.19,2.12,1.06,0,2.12,25.49,3.19,0,10.62,61.6,1.06,0,2.12,0,0,20.18,0,0,2.12,0,0,5.31,1.06,2.12,6.37,1.06,0
 96-106,0,0,0,8.74,2.19,34.97,1.09,1.09,1.09,10.93,3.28,1.09,8.74,7.65,2.19,0,2.19,0,21.86,2.19,4.37,6.56,60.11,0,4.37,2.19,0,1.09,9.84,0,0,0,0,0,6.56,1.09,0,4.37,1.09,0
108-118,0,0.77,0,8.43,1.53,22.21,0,1.53,1.53,13.02,0.77,0,2.3,2.3,0.77,0,0.77,0.77,24.51,0.77,0,6.13,53.62,0.77,4.6,3.06,0,0.77,16.09,0,0,0,1.53,0,0.77,1.53,0.77,3.83,0.77,2.3
120,0,0,0,17.64,1.96,15.68,1.96,0,0,9.8,1.96,0,7.84,1.96,1.96,1.96,3.92,0,21.56,0,0,7.84,84.27,0,3.92,7.84,0,1.96,21.56,0,0,3.92,1.96,0,1.96,1.96,1.96,1.96,3.92,1.96
