stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,immune,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0
 24-34,0,0,1.64,0,0,0.82,0,0.82,0,2.46,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,0,0,0.81,0,5.64,0,0,0.81,0,0
 48-58,0.57,0,0.57,0,0.57,0,0.57,0.57,0,4.59,0,0,1.15,0,0
 60-70,0.98,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,1.96,0.98,3.93,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,2.12,2.12,0,1.06,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,1.09,4.37,0,0,0,0
108-118,0.77,0,1.53,0,0,0,0,0.77,0,2.3,0,0,0,0.77,0
120,0,0,1.96,0,0,0,1.96,0,0,7.84,1.96,0,0,0,0
