stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,9,1,0,4,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,4,73,7,0,0,0,2,1,6,0,1,8,33,0,0,2,0,0
 24-34,0.82,0.82,5.75,0.82,0,13.95,0,0.82,0.82,0,0,0.82,1.64,0.82,0,0.82,0.82,0.82,11.49,0,0,10.67,145.29,0,5.75,1.64,0,2.46,0,0,0.82,0,3.28,30.37,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,20.95,0,0,2.42,11.28,0,0.81,1.61,0.81,1.61,0,0,1.61,20.95,0,0,2.42,154.69,0.81,1.61,0.81,0,4.03,0,0,0,0,0.81,37.06,0,0,0,0,0
 48-58,0,0,2.3,0,0,39.59,0.57,1.15,0,17.79,0,0.57,0.57,1.15,0,0.57,0,0.57,32.71,0,1.15,3.44,148.04,1.72,0,1.15,0,1.15,0,0,0,0,0,34.43,0,0,1.72,0,0
 60-70,0,0,2.94,0.98,0,76.56,0,0,0.98,35.33,0,0.98,0.98,0,0,0,0,0.98,50.06,0.98,1.96,4.91,172.75,0.98,1.96,3.93,0.98,4.91,0,0,2.94,0.98,0,21.59,0.98,3.93,0,0,0
 72-82,0,0,2.94,6.87,0,94.24,0,0,1.96,58.9,0,1.96,1.96,0,1.96,2.94,0,0.98,73.62,1.96,0.98,4.91,204.19,0,0.98,4.91,0,0.98,0.98,0,0.98,0,0,22.58,0,0,1.96,2.94,0
 84-94,0,0,7.43,8.5,0,66.91,0,1.06,1.06,25.49,1.06,0,6.37,0,1.06,1.06,1.06,0,39.3,1.06,1.06,3.19,109.39,1.06,2.12,5.31,1.06,12.74,0,0,0,0,0,10.62,0,0,6.37,1.06,0
 96-106,2.19,0,12.02,6.56,1.09,44.81,1.09,0,3.28,59.01,1.09,0,3.28,0,0,2.19,0,0,59.01,2.19,5.46,6.56,89.61,3.28,2.19,8.74,2.19,12.02,0,0,0,1.09,0,5.46,2.19,0,7.65,1.09,2.19
108-118,0,0,9.19,6.13,2.3,48.26,0,1.53,1.53,49.02,3.83,0,6.13,3.83,3.06,0.77,2.3,0,49.02,1.53,0,5.36,121.79,2.3,3.83,4.6,0,8.43,0,0,0,0,0,3.06,0.77,0,2.3,1.53,0.77
120,0,0,17.64,0,0,41.16,0,1.96,0,33.32,0,0,7.84,1.96,1.96,0,0,0,23.52,0,1.96,5.88,76.43,9.8,1.96,3.92,0,1.96,0,0,1.96,0,0,9.8,0,0,7.84,0,0
