stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,6.13,0,0,18.39,0,0,6.13,0,0,0
  7-9,10.51,0,0,0,0,0,0,2.63,0,0,2.63,0,0,28.92,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,18.88,0,0,0
 14-21,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2
 24-34,0,0,0,1.64,0,0,0,0,2.46,0,1.64,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,4.83,0,0.81,0,0,0,0.81
 48-58,0,0,0,1.15,0,0.57,0,0,0.57,0.57,1.72,0,0,0,0.57,0,1.15
 60-70,0,0,0.98,2.94,0,0.98,0,0,0,0,2.94,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,1.96,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0
