stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,288.09,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,13.14,0,0,31.54,0,0,0,0,7.89,0,0,0,0,0,0,0,0,197.15,7.89,0,0,81.49,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,18.88,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,201.41,0,0,0,97.56,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,3,3,31,0,0,1,0,1,0,5,0,1,10,0,0,0
 24-34,0,0,0,0.82,4.1,0,8.21,0,0,1.64,0,0,0,0,0,0,0,0,3.28,0.82,77.16,0,1.64,0,0,1.64,0,0,0,0,22.16,0,0.82,0
 36-46,0,0,0,0,0,0,9.67,0,0,2.42,0,0,0.81,0,0,1.61,0,0,4.03,1.61,58.01,0,0,0,0,3.22,0,0,0.81,0,14.5,0,0.81,0
 48-58,0,0,0,0,0.57,0,21.23,0,0,6.31,0,0,0,0.57,0,0,0,0,6.89,0.57,43.61,0,0.57,1.15,0,0.57,0,0,0,0,12.62,0.57,0.57,0
 60-70,0,0,0,0,2.94,0,21.59,0.98,0.98,3.93,0,0,0,0,0,0,0,0,6.87,1.96,29.45,0,0,0,0,1.96,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,2.94,0,24.54,0,0.98,8.83,0,0,1.96,1.96,0,0,0.98,0,19.63,2.94,43.19,0,0.98,0,0,1.96,0,0,0,0,4.91,0,1.96,0
 84-94,0,0,0,0,2.12,1.06,18.05,1.06,1.06,3.19,0,1.06,0,1.06,0,1.06,1.06,0,18.05,0,31.86,0,0,1.06,0,3.19,0,0,0,0,6.37,0,2.12,1.06
 96-106,0,0,0,0,0,0,8.74,0,0,2.19,2.19,0,0,0,0,0,0,1.09,4.37,0,14.21,0,0,1.09,0,3.28,0,0,0,0,2.19,0,0,1.09
108-118,0,0,0.77,0,1.53,0,7.66,0,0.77,4.6,0,0,0.77,0,0,0,0.77,0.77,4.6,1.53,23.74,0.77,0.77,0.77,0,2.3,0.77,0,0.77,0,1.53,0,1.53,0
120,0,0,0,0,7.84,0,11.76,1.96,1.96,9.8,1.96,0,0,1.96,1.96,0,0,0,7.84,3.92,27.44,1.96,1.96,1.96,0,1.96,0,0,0,0,1.96,0,7.84,0
