stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,12.59,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,1,14,4,4,0,0,0,1,1,0,1,0,0,0,17,0,0,5,15,0,0,1,2,0,0,4,0,2,7,0,0
 24-34,0,0,0.82,11.49,0,3.28,0,0,0,2.46,0.82,0,0,0,0,0,27.09,0,0.82,14.78,28.73,0.82,0.82,1.64,0,0,1.64,0,0,0,6.57,0,0
 36-46,0,0,0,4.03,0,2.42,0,0,0,1.61,1.61,0,0.81,0,0.81,0,16.11,0,1.61,0.81,6.45,0,0,0,0,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0.57,11.48,0,15.49,0.57,1.72,1.72,2.3,3.44,0,0,0.57,0.57,0.57,52.79,1.15,6.89,6.89,28.12,0.57,0,2.87,0,1.72,0,0,0.57,0,2.87,0.57,0.57
 60-70,0,0,0,0,0,1.96,0,0,0.98,1.96,0,0,0,0,0,0,13.74,0,2.94,0.98,10.8,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,0,1.96,0,2.94,0.98,0,0.98,0,0,0,0,0,17.67,0,1.96,1.96,10.8,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,3.19,0,2.12,0,5.31,1.06,2.12,0,0,1.06,0,0,1.06,6.37,0,4.25,1.06,8.5,1.06,0,0,0,0,1.06,0,1.06,0,1.06,0,3.19
 96-106,0,0,0,3.28,0,0,0,0,0,1.09,0,0,0,0,0,0,6.56,0,1.09,0,5.46,0,0,1.09,0,0,0,0,0,0,0,1.09,2.19
108-118,0,0,0,3.83,0,2.3,0,2.3,1.53,3.83,0,0.77,1.53,0,0,0,5.36,0,0.77,0.77,3.06,0,0,1.53,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,9.8,0,1.96,0,9.8,0,1.96,1.96,3.92,1.96,0,0,0,7.84,0,0,3.92,17.64,0,0,1.96,0,0,0,0,0,0,0,0,1.96
