stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,taste,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,9.44,0,0,3.15,0,0
 14-21,0,3,0,1,0,0,0,1,0,0,2,0,3,3,0,0,0,5,27,84,0,0
 24-34,0.82,0.82,0,0,0,1.64,0,0,0,0.82,0.82,0,1.64,1.64,0,0,0,0,1.64,6.57,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,4.03,0,3.22,2.42,0,0.81,0,0,0,0,0,0
 48-58,0,0.57,0,1.15,1.15,0,0,0,0,1.15,6.89,0,10.9,1.15,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,17.67,0.98,7.85,2.94,0,0,0,0,0.98,0,0,2.94
 72-82,0,0,0,0.98,0.98,0.98,1.96,0,0,0,24.54,0.98,2.94,1.96,0,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,3.19,2.12,0,1.06,0,0,1.06,13.81,0,4.25,1.06,0,0,0,0,0,0,1.06,2.12
 96-106,0,0,0,2.19,0,1.09,0,0,1.09,1.09,14.21,0,1.09,4.37,0,0,0,0,0,0,0,2.19
108-118,0,1.53,0.77,0,0,0.77,0,0,1.53,3.06,7.66,0.77,6.89,9.19,0,0.77,0,0,0.77,0,0,0
120,0,1.96,0,1.96,0,0,0,0,0,0,13.72,0,1.96,0,0,0,0,0,0,0,0,0
