stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,16,2,0,0,0,0,4,3,1,0,37,2,0,0,0
 24-34,0,0,0,0,2.46,0,1.64,0,0,1.64,0,0,0,0,0.82,0,0,0,13.13,0,0,19.7,12.31,0,0,0,0,0,0,0,0,0.82,5.75,1.64,0,0,0
 36-46,0,0,0,0,8.06,0,0,0,0,1.61,0,0,0,0,0,0,0,0,46.73,0.81,0.81,15.31,9.67,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,46.48,0,3.44,0,0,10.33,1.72,0,0,0,0,0,0,0,65.41,0,2.87,17.21,7.46,0,0,0,0,0,0,0,0.57,0,0,2.87,0,0,0
 60-70,0,0,0,0,78.52,0,3.93,0,0,10.8,5.89,0,0,0.98,0.98,0,0,0,161.95,0.98,7.85,10.8,16.69,0,0,0,0,0,0,0,0.98,0,0,0.98,1.96,0,0
 72-82,0,0,0,0.98,286.65,0,14.72,0.98,0.98,23.56,11.78,2.94,1.96,0.98,0.98,0,0,0.98,341.62,0.98,32.39,26.5,30.43,0,0,0.98,0.98,1.96,0,0,0,0,0,1.96,2.94,0,1.96
 84-94,0,0,0,1.06,283.56,0,11.68,1.06,0,10.62,5.31,2.12,2.12,2.12,2.12,0,0,0,225.15,0,27.61,12.74,20.18,0,0,1.06,0,0,0,0,2.12,0,0,0,1.06,2.12,2.12
 96-106,0,0,0,1.09,319.11,1.09,18.58,0,1.09,17.49,9.84,8.74,4.37,5.46,1.09,0,2.19,1.09,250.26,0,30.6,17.49,32.79,1.09,2.19,1.09,3.28,2.19,0,0,1.09,0,0,0,3.28,4.37,6.56
108-118,0,0.77,0,0,202.21,0,9.19,0,0,17.62,7.66,26.04,2.3,3.83,2.3,0.77,0,0,240.51,0.77,36.77,13.79,26.81,0,2.3,0.77,2.3,1.53,0,0,0,0,0,0,0.77,3.06,6.89
120,0,1.96,0,1.96,225.38,0,9.8,0,1.96,11.76,3.92,33.32,1.96,3.92,0,0,0,0,188.14,0,33.32,17.64,23.52,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,5.88
