stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,35,0,0,4,0,0,0,0,0,0,0,3,0,0,2,0,4,1,0,6,22,8,1,0,0,0,1,1,0,2,6,0,0,1,0,0
 24-34,0,0,0,4.93,14.78,0,0,3.28,0.82,0,0,2.46,0.82,0,0,0,0,0,2.46,0,6.57,0,0,4.1,22.98,1.64,0,3.28,0,0,0,0,2.46,0,6.57,0,0,2.46,0,0.82
 36-46,0,0,0,0,3.22,0,0,1.61,0.81,0.81,0,3.22,0,0.81,0,0,0,0,0.81,0,12.89,0,0,4.03,12.89,1.61,0.81,0.81,0,0,0.81,0,0,0,1.61,0,0,2.42,0,0
 48-58,0,0,0,0,1.15,0.57,0,1.72,0,1.15,2.3,2.3,0,0.57,0,0,0,0,0,0.57,11.48,0,0,2.87,4.59,0,0.57,1.15,0,0,0.57,0,0,0,1.15,0,0,4.59,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,1.96,17.67,9.82,0,0,0,0,0,0,1.96,0,27.48,0,0.98,2.94,2.94,0,1.96,1.96,0,0.98,0.98,0,0,0,1.96,0,1.96,5.89,0,0
 72-82,0,0,0.98,0,5.89,0,0,1.96,1.96,1.96,53.01,13.74,0,1.96,0,0,0,1.96,3.93,0,78.53,0,1.96,3.93,6.87,0,3.93,3.93,0,0.98,2.94,0,0.98,0,3.93,0,1.96,12.76,2.94,0
 84-94,0,0,4.25,0,4.25,1.06,0,7.43,0,2.12,52.04,41.42,0,5.31,1.06,0,2.12,1.06,12.74,0,40.36,0,3.19,3.19,10.62,1.06,11.68,4.25,0,3.19,5.31,0,2.12,0,3.19,0,1.06,7.43,3.19,0
 96-106,0,0,3.28,0,21.86,2.19,1.09,15.3,7.65,0,96.17,44.81,0,13.11,2.19,0,1.09,3.28,25.14,0,120.21,0,6.56,12.02,25.14,0,28.41,8.74,0,5.46,4.37,0,5.46,0,12.02,0,4.37,27.32,3.28,0
108-118,0,0,0.77,0,31.4,0.77,1.53,19.15,9.19,1.53,112.6,48.26,0,4.6,0.77,0.77,7.66,1.53,35.23,0,141.7,0,7.66,14.55,22.21,0.77,11.49,16.85,0,4.6,0,0,16.85,0,3.06,0.77,4.6,34.47,5.36,0
120,0,0,3.92,1.96,56.83,1.96,0,15.68,5.88,1.96,105.83,56.83,0,1.96,1.96,0,0,0,29.4,0,129.35,0,3.92,9.8,37.24,0,1.96,13.72,0,3.92,1.96,0,19.6,0,3.92,0,3.92,33.32,5.88,0
