stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,28.2,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,18.94,0,0,37.3,0,0,0,0,1.15,0,9.18,0,0.57,0,0,0.57,0,0,0,12.62,0,0,0,0,0
 60-70,0,0,0,0,0,0,94.23,0,0,65.76,0,0,0,0,2.94,0.98,10.8,0,0,0,0,0.98,0,0,0,16.69,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,0,165.9,0,0.98,117.8,0,1.96,0.98,2.94,5.89,0.98,25.52,0,0,1.96,0,0,0,0,0,22.58,0,0.98,0,0.98,0.98
 84-94,0,1.06,0,0,1.06,0,144.44,1.06,0,66.91,0,0,0,0,4.25,0,16.99,0,0,1.06,0,1.06,1.06,0,0,12.74,0,0,1.06,0,0
 96-106,0,0,0,3.28,1.09,0,143.16,0,0,67.76,1.09,0,0,1.09,7.65,0,14.21,0,0,1.09,0,2.19,0,0,0,13.11,1.09,0,1.09,0,0
108-118,0,0,0.77,2.3,1.53,0.77,134.81,0,0,62.81,1.53,0,0,0,3.83,0.77,10.72,0,0,2.3,0,1.53,0,0.77,0,6.89,0,0,0,0,0
120,0,0,0,0,1.96,1.96,166.58,0,1.96,45.08,0,1.96,0,0,1.96,1.96,23.52,1.96,0,1.96,0,0,0,1.96,0,7.84,0,0,0,0,0
