stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,68.35,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,47.2,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
 24-34,0,0,4.93,0,0,0,0,0,0,0.82,0.82,2.46,8.21,0,0,0,0,0,4.93,0,2.46,0
 36-46,0,0,7.25,0,0,0.81,0,0,0,0,0,8.06,13.7,0,0,0,0,0,7.25,0,0,0
 48-58,0,0,2.3,0,1.72,0,0,2.3,0,0.57,0,4.59,12.05,0.57,0,0,0,0,10.33,0,1.15,0
 60-70,0,0,0.98,0,0,0,0,2.94,0.98,3.93,0,5.89,10.8,0,0,0,0,0,10.8,0.98,0.98,0
 72-82,0,0,0.98,1.96,0.98,0.98,0.98,8.83,0,7.85,0,11.78,13.74,0,0,0.98,0,0,8.83,0,1.96,0
 84-94,0,0,1.06,0,2.12,0,0,6.37,0,2.12,0,12.74,14.87,0,0,0,0,0,5.31,1.06,0,0
 96-106,0,0,2.19,0,1.09,1.09,1.09,16.39,0,3.28,0,9.84,4.37,0,0,1.09,0,0,2.19,0,1.09,1.09
108-118,0,0,0.77,0,0,0,0,9.19,0,3.83,0,18.38,6.89,0.77,0,0,0,0.77,1.53,0.77,2.3,0
120,0,0,0,0,0,0,0,15.68,0,1.96,0,11.76,7.84,0,0,0,0,0,1.96,0,0,0
