stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,1,1
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,3.28,0,0,2.46,8.21,0,0,0,0,0,0,2.46,1.64
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,4.03,0.81,0,1.61,12.89,0,0.81,0,0,0.81,0,4.03,0
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,0.57,0,0,0,5.74,0,0,0.57,4.02,0,0,0,0,1.15,0,2.3,0
 60-70,0,0,0.98,0,6.87,0,0.98,0,0,0,0,0,0,2.94,0,0,0,17.67,1.96,0,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,3.93,0,0,0,0,0,0,0.98,0,6.87,0,0.98,0,4.91,0,0,0,0,0.98,0.98,0,1.96
 84-94,0,0,1.06,0,5.31,1.06,1.06,0,0,2.12,0,0,0,3.19,0,0,0,5.31,2.12,0,0,0,3.19,0,0,0
 96-106,0,0,0,1.09,3.28,0,1.09,1.09,0,2.19,1.09,0,0,3.28,0,0,1.09,5.46,0,0,0,0,5.46,0,0,0
108-118,0,0,2.3,0,0.77,0,0.77,0.77,0,0.77,0,0,0,4.6,0,0,0,5.36,0.77,0.77,0.77,0,1.53,0,0,0
120,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,13.72,0,1.96,0,0,3.92,0,0,0
