stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,5.26,0,13.14,0,0,78.86,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,304.93,31.54,0,0,102.52,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,15.73,0,0,62.94,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,468.9,22.03,0,0,94.41,0,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,2,1,15,2,12,0,0,0,24,0,0,1,0,0,0,0,4,1,8,1,0,1,334,4,13,9,8,0,0,2,7,11,6,163,0,0,1,0,0
 24-34,0,0,4.1,0.82,10.67,0,36.12,0,0,0.82,29.55,0,0,0.82,0,0,0,3.28,0.82,0,16.42,0,0,8.21,1012.94,0.82,36.94,4.1,0,0,1.64,0,0,5.75,1.64,249.54,0,0,0,0,1.64
 36-46,0,0,0.81,0,1.61,0,283.6,0,0,0.81,79.76,0,0.81,0.81,0.81,0,0,0,0,0,12.89,0,0,3.22,2131.8,2.42,46.73,4.83,0,0,1.61,0.81,0,3.22,0,415.73,0,0.81,1.61,0,0.81
 48-58,0.57,0,0.57,0,9.75,0,623.15,0,1.15,0.57,189.93,1.15,0,1.15,0,0,1.15,1.72,0,1.15,30.99,0,0.57,4.02,2101.27,0.57,21.23,4.02,0,0,1.15,0.57,0,0.57,0,432.65,0,0.57,0,0,0.57
 60-70,0,0,0,0,6.87,0,764.61,0,0.98,2.94,208.08,0,0,0,1.96,0,0,1.96,0,1.96,35.33,0.98,1.96,3.93,1631.29,0,20.61,0,0,0,2.94,0,0,0.98,0,214.95,0,2.94,0,0.98,0.98
 72-82,0,0,4.91,0,7.85,2.94,683.24,0.98,0,1.96,244.43,0.98,0.98,0,1.96,0,0,4.91,0.98,0,42.21,0,0.98,4.91,1219.22,0,37.3,11.78,0,0,0,0,0,2.94,0,125.65,0.98,3.93,0.98,0.98,0
 84-94,0,0,11.68,1.06,6.37,3.19,392.95,0,0,1.06,139.13,3.19,0,1.06,4.25,1.06,3.19,1.06,0,0,26.55,0,3.19,2.12,527.83,0,22.3,8.5,0,0,2.12,0,0,1.06,0,74.34,1.06,0,2.12,2.12,1.06
 96-106,0,0,3.28,0,12.02,2.19,324.58,0,0,0,154.09,6.56,0,2.19,4.37,0,0,5.46,2.19,0,20.76,0,0,2.19,453.53,0,45.9,16.39,0,0,1.09,0,0,0,0,37.16,0,0,0,0,0
108-118,0,0,1.53,0,9.19,1.53,207.58,0,0,0,114.89,1.53,0,0,0.77,0.77,0.77,4.6,0,0,22.21,0,1.53,2.3,541.54,0,22.98,11.49,0,0.77,0.77,0.77,0,2.3,0,20.68,1.53,0,3.06,0.77,0
120,0,0,1.96,1.96,11.76,3.92,229.29,0,0,1.96,105.83,7.84,0,1.96,1.96,0,1.96,0,1.96,0,19.6,0,0,3.92,536.98,3.92,15.68,11.76,0,0,3.92,0,0,1.96,0,11.76,0,1.96,0,0,0
