stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1396.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,36.78,459.72,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,40.91,0,0,6.29,6.29,0,0,0,0,0,0
 14-21,0,0,1,9,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,2,57,2,0,0,0,0,6,0,0,21,0,0,0,0,0
 24-34,0,0,0,1.64,0,9.85,1.64,0,3.28,0,0,0.82,0.82,1.64,0,0,3.28,0.82,0,2.46,140.37,0.82,3.28,1.64,0,0,12.31,0,0,39.4,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,12.09,2.42,0,2.42,0,0,0,0,0,0,0,0.81,1.61,0,1.61,119.24,0.81,0.81,0.81,0,0,16.92,0,0.81,26.59,0,0,0,0,0
 48-58,0,0,0,1.15,0,20.08,2.3,0.57,2.87,0,0,0,0,0,0,0.57,4.02,1.15,0.57,0.57,77.46,0,0,0,0,0,32.13,0,0.57,19.51,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,15.7,5.89,0,2.94,0.98,0,0,0,0,0,0,4.91,1.96,0,1.96,89.32,0,0,0,0,0,63.8,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,8.83,0,11.78,4.91,0.98,4.91,0.98,0,0,0,0,0,0,11.78,1.96,0.98,0.98,57.92,0.98,0,0.98,0,0,76.57,0,0.98,2.94,0.98,0,0,0,0
 84-94,0,0,0,5.31,0,10.62,11.68,0,2.12,2.12,0,0,1.06,2.12,1.06,0,2.12,0,0,0,22.3,1.06,0,0,0,0,206.04,0,1.06,3.19,1.06,0,0,0,0
 96-106,0,0,0,15.3,0,5.46,18.58,0,2.19,2.19,0,0,2.19,1.09,0,0,5.46,4.37,0,0,29.51,1.09,1.09,1.09,0,1.09,149.72,0,0,2.19,1.09,0,1.09,1.09,0
108-118,0,0,0,9.19,0,9.19,14.55,0.77,0.77,0,0,0,0,0.77,0,0,1.53,0.77,0.77,0.77,16.09,0.77,0,1.53,0,0,75.06,0,0,0,2.3,0,0,0,0
120,0,0,0,7.84,0,7.84,13.72,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,19.6,1.96,0,0,0,0,62.71,0,0,0,0,0,0,0,0
