stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,5,118,5,0,6,0,0,6,0,0,2,9,0,0,0,0,1,0,0,3,21,1,2,39,0,0,5,0,1,3,0,1,11,0,0,0,0
 24-34,0,0,0,3.28,41.04,0,0,0.82,2.46,0,5.75,0,0,0,21.34,0,2.46,0,0,0.82,3.28,0,0,25.45,0,0.82,40.22,0,0,0.82,0,0,5.75,0,0,1.64,0,0,0,0
 36-46,0,0,0,1.61,8.06,0,0,0.81,4.83,0,2.42,0,0,0,12.09,0,1.61,0.81,0,2.42,0.81,0,0.81,14.5,0,1.61,25.78,0,0,0,0.81,0,7.25,0,0,1.61,0,2.42,0,0
 48-58,0,0,0,0,8.03,0,0,2.87,1.72,1.15,1.15,0,0.57,0,4.59,0,2.87,4.59,0,4.59,1.72,0.57,0,8.03,0,1.15,26.4,0,0,0.57,0,0,4.59,0,0,0.57,0,2.3,0,0
 60-70,0,0,0.98,0.98,7.85,0,0,3.93,0,0,4.91,0.98,0,1.96,0.98,0,3.93,7.85,0,8.83,1.96,0,0,3.93,1.96,0.98,26.5,0,0,0,0,0,5.89,0,0,0.98,0.98,2.94,0,0
 72-82,0,0,10.8,1.96,8.83,0.98,0,3.93,1.96,1.96,11.78,0.98,0.98,0.98,7.85,0,1.96,22.58,0,24.54,3.93,0.98,0,11.78,0,0.98,54.97,0,0,0.98,0,0,21.6,0,0,3.93,1.96,6.87,0,0.98
 84-94,0,0,6.37,3.19,18.05,0,0,2.12,2.12,3.19,27.61,1.06,0,1.06,10.62,0,0,98.77,0,10.62,2.12,0,3.19,7.43,0,4.25,65.85,0,0,0,0,0,54.16,0,0,0,0,1.06,0,0
 96-106,0,0,4.37,2.19,20.76,1.09,2.19,12.02,0,3.28,18.58,1.09,0,2.19,17.49,0,2.19,115.84,0,6.56,1.09,0,1.09,15.3,0,10.93,102.73,0,0,3.28,1.09,0,33.88,0,0,3.28,5.46,3.28,1.09,0
108-118,0,0,7.66,6.89,26.81,0.77,0.77,2.3,0.77,2.3,26.04,0,0,0.77,9.19,0.77,3.06,219.07,1.53,8.43,0.77,0,13.02,22.21,0.77,3.06,81.19,0,0,2.3,0,0,41.36,0.77,0,0.77,6.13,3.83,0,0
120,1.96,0,7.84,0,13.72,0,0,1.96,1.96,0,17.64,0,0,1.96,7.84,0,3.92,154.82,0,5.88,1.96,0,15.68,11.76,0,0,60.75,0,1.96,0,0,0,23.52,0,0,3.92,1.96,5.88,0,0
