stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,19,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,33,0,0,0,0,0
 24-34,0,32.83,0,0,2.46,0,0,0.82,0,0,8.21,0,0,0,2.46,3.28,0.82,0,109.99,1.64,0.82,0,0,0
 36-46,0,18.53,0,0,6.45,0,0,0,0,0,3.22,0,0,0.81,2.42,4.83,0,0,104.74,0,2.42,0,0,0
 48-58,0,7.46,0,1.15,8.61,0,0,0,0,0,1.72,0.57,0,0.57,0,5.16,0,1.15,59.68,0,1.15,0,0,0.57
 60-70,0,21.59,0.98,1.96,14.72,0,0,0.98,0,0.98,2.94,0,0,0,0,2.94,0,0,64.78,0,0,0,0,0
 72-82,0,16.69,0.98,1.96,11.78,0,0,0.98,0.98,0,5.89,1.96,0,0,4.91,2.94,0,0.98,79.51,0,0.98,0,0,0.98
 84-94,0,46.73,0,0,23.36,0,0,8.5,1.06,0,15.93,1.06,2.12,2.12,5.31,5.31,0,2.12,234.71,0,0,1.06,0,0
 96-106,0,37.16,1.09,1.09,22.95,0,1.09,4.37,0,0,14.21,2.19,0,0,3.28,6.56,0,1.09,192.34,0,0,0,1.09,0
108-118,0,50.55,0,0.77,19.15,0.77,0,5.36,0,0,9.19,4.6,0,2.3,3.83,3.06,0,0.77,186.13,0.77,0,0,0,0
120,0,48.99,0,1.96,23.52,0,0,1.96,0,1.96,5.88,1.96,0,0,1.96,1.96,1.96,5.88,139.14,0,0,0,0,0
