stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,6.57,0.82,0,0,0,0,0,0,4.1,0,5.75,12.31,0,0,0,0,0,0,0,0.82,0.82,1.64,0,0,0.82,0,0
 36-46,0,0,0.81,0,3.22,3.22,0.81,1.61,0,0,0,0,10.47,0,5.64,18.53,0,0,0,0,0,0.81,0,0,0.81,1.61,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,4.59,0,5.16,0.57,0,0,0.57,21.23,1.72,2.87,10.33,0,0,0,0,0,0,0,1.15,0,1.15,0,0.57,1.15,0.57,0.57
 60-70,0,0,0.98,0.98,3.93,2.94,1.96,7.85,0,0,0,0.98,34.35,2.94,4.91,11.78,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0,0,5.89,1.96,3.93,7.85,0,0,0.98,0,62.83,2.94,1.96,2.94,0,0,0,0,0.98,0,0,0.98,0,0,0.98,5.89,2.94,4.91,0
 84-94,0,0,1.06,1.06,5.31,0,1.06,4.25,0,0,0,0,36.11,3.19,7.43,3.19,1.06,0,0,0,0,0,0,1.06,0,0,0,2.12,2.12,3.19,1.06
 96-106,0,0,1.09,1.09,2.19,1.09,3.28,7.65,1.09,2.19,0,1.09,52.46,0,4.37,14.21,1.09,0,0,0,0,0,0,1.09,0,1.09,0,0,2.19,4.37,2.19
108-118,0,0,0,0.77,3.06,0,1.53,5.36,0,0.77,0,0.77,39.06,3.06,3.83,14.55,1.53,0.77,2.3,0,0,0,0,0,0,0,0,3.83,3.06,3.83,2.3
120,0,0,0,0,3.92,3.92,0,1.96,1.96,0,0,0,60.75,3.92,5.88,17.64,1.96,0,7.84,0,1.96,0,1.96,0,0,0,0,7.84,5.88,15.68,0
