stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,4,1,0,0,1,0,1,3,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,1.72,0,0,0,0,0,0.57,0,1.15,1.72,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,72.63,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,425.06,0,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0.98,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,4.25,1.06,368.53,0,0,0,2.12,0,0,0,0,0,2.12,0,1.06,6.37,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,356.27,1.09,0,1.09,2.19,0,1.09,0,1.09,1.09,2.19,0,0,7.65,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,2.3,0.77,250.47,0,1.53,0,2.3,0,1.53,0,0,0,2.3,0,0.77,4.6,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,0,0,237.13,0,0,0,0,0,0,0,0,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0
