stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,53.5,12.59,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,20,0,0,0,3,1,17,0,0,5,2,17,1,57,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,30.37,0,0,0,2.46,0.82,15.6,0,6.57,3.28,0,13.95,0,53.36,0,0,0,0
 36-46,0,0,0,0,0.81,0,4.03,16.11,0,0,0,0.81,0,16.92,0.81,8.06,1.61,0,7.25,0,29.81,0,0,0,0.81
 48-58,0,0,0.57,0,0,0.57,6.31,26.97,0,0,1.15,1.15,0,10.9,0,11.48,2.87,0,3.44,0,24.67,0,0,0,0
 60-70,0,0,0,0,0.98,0,6.87,26.5,0,0.98,2.94,1.96,0,9.82,0,13.74,5.89,0,3.93,0,20.61,0,0,0,0
 72-82,0,0,0,0,0.98,0,4.91,18.65,0,0,4.91,3.93,0,3.93,0,17.67,8.83,0,0.98,0,8.83,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,5.31,20.18,1.06,0,2.12,3.19,0,5.31,0,15.93,14.87,0,4.25,0,10.62,0,0,1.06,0
 96-106,0,0,3.28,0,2.19,0,7.65,14.21,1.09,1.09,10.93,1.09,0,1.09,0,21.86,22.95,0,3.28,0,9.84,0,0,0,0
108-118,0,0,0,0,0.77,0,7.66,16.85,0.77,0,4.6,2.3,0,3.83,0,16.09,13.02,0,3.06,0,3.83,0,0.77,0,0
120,0,0,0,1.96,3.92,0,1.96,5.88,0,1.96,13.72,1.96,0,7.84,0,21.56,15.68,0,5.88,0,5.88,1.96,1.96,0,0
