stage,blastomeres,eye,fast_muscle,glial,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,1,1,4,0
 24-34,0,0,0,0,0,0,1.64,0,7.39,0,0.82,0,0,0,0.82,0,0.82,3.28,0
 36-46,0,4.83,0,0,0,0,0.81,0,4.83,0,0.81,0,0,0,0,0,0,4.03,0
 48-58,0,6.31,0,0,0,0.57,0.57,0.57,3.44,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
