stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,514.89,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,10.51,13.14,18.4,0,0,39.43,0,0,0,15.77,0,0,0,0,304.93,15.77,92,0,0,5.26,0,0,0,0,0
 10-12,0,6.29,18.88,0,0,18.88,0,0,0,3.15,0,0,0,0,258.05,3.15,44.06,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0.82,0.82,4.93,1.64,0,0,1.64,0,0,3.28,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,0,1.61,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,2.87,0,1.15,0.57,0,0,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,1.06,0,0,0,0,2.12,0,1.06,0,3.19,0,0,0,1.06,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,0,0,2.3,0,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,1.96,0,0,0,0,5.88,0,3.92,0,0,0,5.88,0,1.96,0,0,0,0
