stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0
 24-34,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0,64.85,4.1,0,0,0,4.93,0,0
 36-46,0,0,40.28,0,0,0,0,0,0,0,0,0,261.84,4.83,0,0,0,62.04,0,0
 48-58,0,0.57,98.69,0,0,3.44,0.57,0,0,2.3,0,0.57,266.82,3.44,0,0,0,134.84,0,0
 60-70,0,0,138.39,0,0,5.89,0,0,0,2.94,0,0.98,308.2,2.94,2.94,0,0,122.69,0,0
 72-82,0,1.96,163.94,0,0,5.89,0,0,0,3.93,0,0,307.26,2.94,0.98,0,0,104.06,0,0.98
 84-94,0,0,88.15,0,0,8.5,0,0,0,4.25,0,2.12,138.06,4.25,0,0,1.06,53.1,1.06,0
 96-106,0,2.19,83.06,1.09,1.09,6.56,0,1.09,1.09,3.28,0,0,135.51,2.19,0,0,0,26.23,0,0
108-118,0,3.83,47.49,1.53,0,2.3,0,0,0,0.77,0.77,0,114.89,2.3,0,0,0,9.19,0,0
120,0,1.96,19.6,3.92,1.96,0,0,0,0,3.92,0,1.96,105.83,1.96,0,0,0,7.84,0,0
