stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,2,0,1,0,2
 24-34,0,0.82,0,0,0.82,0,0.82,0,0,4.93,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,1.61
 48-58,0,0,0,1.15,0,0,0,0.57,0,5.16,0,0,0,0
 60-70,0,0,0,4.91,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,1.96,0,5.89,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,3.19,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0.77,0.77,0,0,0
