stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,3.28,51.71,0.82,0
 36-46,0.81,0,1.61,0.81,0,0,0,0.81,0,0,0,0.81,54.79,0,0
 48-58,0.57,0,0.57,0.57,0.57,0,0,0.57,1.15,0,0.57,2.3,73.45,1.15,0
 60-70,3.93,0,1.96,0,0,0,0.98,0.98,0,0,0,0.98,96.19,0.98,0
 72-82,4.91,0,1.96,0.98,0.98,0,0.98,0,0,0,0,0,83.44,0,0
 84-94,9.56,0,0,0,0,1.06,1.06,0,1.06,0,0,2.12,178.42,0,0
 96-106,14.21,1.09,2.19,0,1.09,0,0,1.09,0,0,0,3.28,154.09,0,1.09
108-118,13.79,0,0,0.77,0,0.77,1.53,0,1.53,0.77,0,4.6,85.79,0,0
120,7.84,0,0,3.92,0,0,1.96,0,1.96,0,0,0,129.35,0,0
