stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,31.47,0,0,6.29,0,9.44,0,0,0,0
 14-21,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,1,9,1,0,0,7,0,6,73,25,33,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,4.93,0,0,0.82,0,0,0,0.82,0,0,0,9.03,0,0,0,31.19,0,0,5.75,2.46,10.67,0,0,0
 36-46,0,0,0,0,8.86,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,14.5,0,0.81,0,71.7,0,0,0,0,10.47,0,0,0
 48-58,0,0,0,0.57,14.92,0,0.57,1.15,0,0,1.15,0,0,1.72,1.15,0,0,0,10.9,0.57,2.87,0,39.59,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0.98,7.85,0,1.96,2.94,0,0.98,0,0,0,0.98,3.93,1.96,0,0,10.8,0,4.91,0,34.35,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,5.89,10.8,0,0,14.72,0,0,0,0.98,0,1.96,6.87,0,0,0.98,11.78,0,12.76,0,13.74,0.98,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,5.31,6.37,0,0,11.68,0,0,1.06,0,1.06,2.12,1.06,2.12,0,1.06,7.43,0,16.99,0,48.85,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,3.28,15.3,1.09,0,12.02,1.09,0,0,0,0,0,1.09,0,1.09,0,4.37,0,25.14,0,9.84,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,2.3,22.98,0.77,0,5.36,0,0,0,0.77,0,0.77,3.06,0,0,1.53,7.66,0,27.57,0,5.36,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,1.96,7.84,0,0,7.84,0,0,0,0,0,0,1.96,0,0,0,1.96,0,21.56,0,1.96,0,0,0,0,1.96,0,0,0
