stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,3,0,5,4,0,1,0,2,1,0,0,0,0,0,0,1,0,0,2,36,0,1,0,0,0,0,0,0,2,21,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,3.28,0,1.64,0,0,0,0.82,0,0,0,0,1.64,0,2.46,88.65,0,1.64,0.82,0,0,0.82,0,0,0,48.43,0,0,0.82,0,0
 36-46,0.81,0.81,0,0,0,5.64,0,3.22,1.61,0,0,0,1.61,0,0.81,0,3.22,0,0.81,104.74,0,0.81,0,0,0,0,0,0,0,96.68,0,0,0,0,0.81
 48-58,1.15,0,0,0.57,0,13.2,0.57,5.16,0,0,0.57,0,1.72,0,0,0,8.61,0,1.15,127.96,0,0,0,0,0,0,0,0.57,0,60.25,0,0,0,0,0
 60-70,1.96,0,0.98,0,0,16.69,0,10.8,0,0,0.98,0.98,0.98,0,0,0,11.78,0,0,169.8,0,0,0,0,0,0.98,0,0,0,44.17,0,0,0,0,0.98
 72-82,4.91,0,0.98,0,0,37.3,1.96,16.69,2.94,0,1.96,0,4.91,0,0,0,33.38,0,1.96,293.52,0,0,0,0,0.98,0,0,0,0,53.99,0,0,1.96,0.98,0
 84-94,3.19,0,3.19,0,0,35.05,0,14.87,1.06,0,1.06,0,3.19,0,1.06,0,18.05,2.12,1.06,151.87,0,0,1.06,0,0,0,0,0,0,33.99,0,0,2.12,2.12,0
 96-106,3.28,0,3.28,0,0,20.76,1.09,25.14,3.28,0,0,1.09,2.19,0,2.19,0,22.95,1.09,1.09,179.23,0,0,2.19,0,0,1.09,0,0,0,16.39,1.09,1.09,2.19,1.09,1.09
108-118,3.06,0,3.06,1.53,0.77,29.11,0.77,24.51,2.3,0,0,0,5.36,0,0.77,0,14.55,1.53,2.3,225.96,0.77,0,2.3,0,0,0,0,0,0,22.98,1.53,0,0.77,1.53,1.53
120,3.92,0,1.96,0,1.96,21.56,0,21.56,0,0,0,1.96,0,1.96,0,1.96,11.76,0,0,170.5,0,1.96,0,0,0,0,0,1.96,0,5.88,0,0,1.96,0,0
