stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,17,5,5,0,1,0,5,2,0,0,0,0,0,0,5,0,8,59,0,0,2,0,1,1,0,1,41,0,0,0,0
 24-34,0,5.75,0,25.45,0,1.64,0,15.6,0.82,0,0,0.82,0,4.93,0.82,40.22,0,13.95,155.96,0,1.64,6.57,0.82,9.85,0,0,0.82,42.68,0,0,4.1,0
 36-46,0,1.61,0,25.78,0,0,0.81,15.31,0,0,0,0.81,0.81,1.61,0.81,71.7,1.61,11.28,103.93,0,2.42,6.45,0,15.31,0,0.81,0,38.67,0,0,3.22,0
 48-58,0,1.15,0,16.64,0.57,0,0,18.94,0,0,0,0,0,0.57,0,52.79,0,8.61,33.85,0,0.57,6.31,0,7.46,0,0.57,0,17.79,0,0.57,2.3,0
 60-70,0,1.96,0,22.58,0,0,0,33.37,0.98,0,0,0,0,2.94,0,73.61,0,4.91,21.59,0.98,1.96,1.96,0.98,7.85,0,0,0,9.82,0.98,0,0,0.98
 72-82,0,8.83,0,14.72,0,0,0,38.28,1.96,0.98,0,0,0.98,1.96,0,89.33,2.94,4.91,10.8,0,0.98,6.87,0.98,13.74,0,0,0,2.94,1.96,2.94,5.89,1.96
 84-94,0,4.25,1.06,14.87,0,3.19,0,27.61,0,0,0,1.06,0,2.12,2.12,47.79,1.06,5.31,18.05,0,3.19,6.37,1.06,38.23,0,1.06,0,4.25,6.37,0,5.31,4.25
 96-106,0,7.65,0,15.3,0,1.09,0,20.76,1.09,0,0,0,0,2.19,2.19,40.44,4.37,0,10.93,1.09,4.37,10.93,0,19.67,0,0,0,3.28,2.19,2.19,4.37,3.28
108-118,0,3.83,0,11.49,0,1.53,1.53,16.09,3.06,0,0.77,1.53,0,3.83,0.77,27.57,3.06,0.77,13.02,0.77,1.53,9.19,0.77,17.62,0,0.77,0,2.3,4.6,0.77,3.83,3.06
120,0,9.8,1.96,7.84,0,0,1.96,17.64,1.96,1.96,0,0,0,0,0,37.24,1.96,1.96,11.76,0,3.92,1.96,1.96,15.68,0,0,0,0,1.96,0,5.88,3.92
