stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,119,0,4,0,0,0,1,0,0,0,35,0,0,0,0,0
 24-34,0,0,0,4.1,339.01,0,7.39,0,0,0,0,0,0,0.82,0,0,0,0,0,0,4.93,0,0,4.1,687.88,0,33.66,0,0,0,6.57,0,0,0.82,142.01,0,0,4.1,0,0
 36-46,0,0,0,4.03,194.17,0,66.06,0,0.81,1.61,0.81,0,0,0.81,0.81,0.81,0,0,0,0,7.25,0,0,3.22,1994.03,0,46.73,0,0,0,4.03,0,0,0,395.58,0,0,1.61,0,0.81
 48-58,0,0,0.57,5.16,368.96,0,331.09,1.72,0,1.15,22.38,0,0,0.57,0,0,0,0.57,0.57,0.57,18.94,0,0.57,5.74,2644.09,0.57,29.26,0,0,0,4.02,0,0,0,504.95,0,0,1.72,0,1.72
 60-70,0,0,0.98,5.89,450.52,0,660.56,0,1.96,2.94,36.32,0,0,0.98,0.98,0,0,0,0,0.98,22.58,0,0,0.98,3289.08,0,29.45,0.98,0,0,3.93,0,0.98,0,494.69,0,0.98,0.98,0,1.96
 72-82,0,0,0.98,22.58,543.84,0,745.08,2.94,3.93,3.93,57.92,1.96,0,0.98,2.94,1.96,0,0,1.96,1.96,62.83,0.98,0.98,4.91,2702.52,0,46.14,2.94,0,0,5.89,0,0,0,277.81,1.96,0.98,3.93,3.93,7.85
 84-94,0,0,2.12,24.43,408.88,0,455.61,2.12,0,1.06,56.29,1.06,0,2.12,1.06,2.12,3.19,0,1.06,0,44.61,0,6.37,4.25,1280.82,0,35.05,3.19,0,0,8.5,0,0,2.12,146.56,1.06,1.06,6.37,2.12,1.06
 96-106,0,0,2.19,16.39,464.46,1.09,350.8,1.09,2.19,3.28,50.27,3.28,0,4.37,6.56,1.09,0,1.09,1.09,0,50.27,1.09,2.19,1.09,1120.17,0,32.79,3.28,0,1.09,8.74,1.09,0,1.09,75.41,1.09,0,7.65,1.09,1.09
108-118,0,0,1.53,22.21,360.77,0,281.11,2.3,0.77,2.3,39.83,3.06,0,0.77,3.83,2.3,2.3,1.53,1.53,0,24.51,0.77,0.77,1.53,1261.54,0,33.7,1.53,0,1.53,3.06,0,1.53,0,55.92,1.53,0.77,6.13,2.3,0.77
120,0,0,0,9.8,390,1.96,246.93,0,3.92,3.92,48.99,0,0,1.96,1.96,1.96,0,0,0,0,37.24,1.96,1.96,1.96,1299.34,0,21.56,1.96,1.96,0,11.76,0,1.96,0,78.39,0,1.96,9.8,1.96,0
