stage,axial,blastomeres,endocrine_pancreas,exocrine_pancreas,eye,glial,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,2.63,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,28.32,0,15.73,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,5,0,0,2,1,0,0,2
 24-34,0,0,0.82,0,0,0,0.82,0,0,2.46,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,0.98,0,9.82,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,13.11,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0.77,0,0,0.77,0,9.96,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0,0,0,0
