stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1805.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,106,3,0,1,0,1,0,2,5,0,0,4,0,0,1,0,1,1,0,0,18,2,4,13,4,0,2,5,0,2,5,8,0,0,0,0,0
 24-34,0,0,0,2.46,204.39,0.82,0,4.93,0,27.91,0,0.82,4.93,0,0,21.34,3.28,0,4.1,0.82,3.28,1.64,0,2.46,45.97,1.64,7.39,20.52,0,4.1,0.82,0,4.93,0,0.82,7.39,0,0,1.64,0,0
 36-46,0,0,0,0,103.93,0,0,4.83,0,33.03,0,0,4.03,0,0,45.12,1.61,0,4.03,0.81,2.42,0,0,1.61,32.23,0.81,5.64,12.89,0,4.03,0,0,0,0,0,7.25,0,0,1.61,0,0
 48-58,0,0,0,1.15,95.83,0,0,14.92,0,44.18,0.57,14.35,1.72,0,0.57,45.33,0.57,0,3.44,0.57,3.44,2.87,0.57,0,33.85,0,10.33,9.18,0,2.87,0,0,1.15,0.57,0,12.62,0,0.57,2.3,0,0
 60-70,0,0,0.98,0,92.26,0,0,16.69,1.96,46.13,0.98,43.19,3.93,0,0.98,39.26,0,0,1.96,0,5.89,3.93,0,0,35.33,0,10.8,7.85,0,7.85,0,0,0.98,0,0,20.61,0,0.98,1.96,0.98,0
 72-82,0,0,3.93,0.98,146.27,2.94,0,42.21,0,37.3,0,110.93,10.8,0,0,88.35,4.91,0,6.87,0,14.72,4.91,0,0.98,98.17,0,10.8,19.63,0,5.89,0,0,0,0,0,13.74,4.91,0.98,16.69,5.89,0.98
 84-94,0,0,1.06,2.12,249.58,1.06,0,28.68,0,87.09,1.06,57.35,13.81,0,1.06,107.27,10.62,0,3.19,1.06,14.87,6.37,0,1.06,58.41,0,3.19,9.56,0,7.43,0,0,2.12,0,0,9.56,6.37,0,7.43,3.19,0
 96-106,0,0,4.37,1.09,302.72,3.28,1.09,51.36,1.09,73.22,0,83.06,21.86,0,0,155.18,6.56,1.09,12.02,0,21.86,5.46,0,0,66.66,0,12.02,15.3,0,18.58,0,0,1.09,0,0,15.3,3.28,1.09,27.32,15.3,1.09
108-118,0,0,1.53,0.77,280.34,5.36,1.53,45.19,0,92.68,2.3,72.77,17.62,0,0,121.02,5.36,0,3.06,0.77,6.13,3.06,0.77,1.53,100.34,0,13.02,11.49,0,6.89,0,0,1.53,0.77,0,6.89,6.89,0,17.62,6.89,0.77
120,0,0,0,0,178.34,1.96,0,25.48,0,48.99,1.96,68.59,13.72,0,0,99.95,0,0,1.96,0,3.92,0,1.96,3.92,88.19,0,5.88,9.8,0,7.84,0,0,3.92,0,0,5.88,3.92,0,3.92,7.84,0
