stage,axial,eye,glial,immune,mesenchyme,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,10.67,0,0.82,0.82,0.82,1.64,0
 36-46,0,0.81,0.81,0,0,2.42,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,0.98,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0
