stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,28.73,0,0,1.64,3.28,0,2.46,6.57,0,0,0,0,0.82,0,0.82,0,0.82,0
 36-46,0,0.81,0,0.81,0,0,0.81,0,0,12.89,0,0,2.42,0.81,0,0.81,5.64,0,0,0.81,0,0.81,1.61,1.61,0,0,0.81
 48-58,0,0,0,0.57,0,0,1.72,0,0,6.89,0.57,0,1.15,0,0,0,3.44,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0.98,0,0.98,1.96,0,0.98,0.98,0.98,22.58,0,0,2.94,0,0,0,8.83,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,0,0,1.96,0,13.74,0,0,4.91,0,0,0,4.91,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,3.19,0,4.25,0,0,1.06,14.87,0,38.23,0,2.12,0,1.06,0,0,2.12,0,0,1.06,0,9.56,0,0,0,1.06,0
 96-106,0,9.84,0,0,0,0,1.09,17.49,0,54.64,1.09,1.09,2.19,0,0,0,5.46,1.09,1.09,1.09,0,5.46,0,1.09,0,0,0
108-118,0,6.89,0.77,0.77,0,0.77,0,26.04,0,65.87,0.77,0,2.3,3.83,0.77,0,4.6,0,0,0.77,0,11.49,0,0.77,0.77,0,0
120,0,9.8,0,0,0,0,0,9.8,0,29.4,0,3.92,3.92,0,0,0,3.92,0,0,0,0,7.84,0,0,0,0,0
