stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,1048.17,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,7.89,5.26,0,0,0,39.43,0,0,0,0,7.89,0,0,0,0,0,0,289.16,2.63,0,81.49,0,7.89,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,113.29,0,0,50.35,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,12,2,0,9,0,0,1,0,0,0,0,0,4,0,2,48,0,1,3,1,0,18,0,15,12,0,0
 24-34,0,0,1.64,2.46,0.82,0,5.75,0.82,0,0.82,0,0,0,0,0,3.28,0,0.82,15.6,0,0.82,0,0.82,0,0.82,0,0.82,8.21,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,2.42,0,0.81,22.56,0,0,0,0.81,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,4.59,1.15,1.15,1.15,0,0,0,0,0,1.15,0,0.57,26.97,0,0,0,0,0,0,0,0,6.89,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0.98,0,0,15.7,0,0,0,0.98,0,0,0,0,3.93,0,0
 72-82,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0,0.98,0,0,1.96,0,0.98,18.65,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,0,6.37,1.06,0,0,1.06,0,0,0,1.06,4.25,0,1.06,13.81,0,1.06,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,1.09,4.37,0,0,0,1.09,0,0,0,0,1.09,0,0,16.39,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,1.53,0,0,0.77,0.77,0,0,0,1.53,0.77,0.77,0,10.72,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,1.96,1.96,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,0
