stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0,1,0,0,0,0
 24-34,0,0.82,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,3.28,0,1.64,13.13,0,1.64,0.82,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,14.5,0.81,0,0,0,0.81,0,0,1.61,0.81,1.61
 48-58,0,0,0.57,0,0.57,0,0,2.3,0,0,0,0,0,0.57,0.57,1.15,0,1.15,8.61,0,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,3.93,0,0.98,5.89,0,0.98,0,0,0,0,0,4.91,0,0.98,8.83,0,0,0,0,0.98,0,0,5.89,0,0
 72-82,0,0,0,0.98,1.96,0,0.98,1.96,0,0,0,0,0,0,0,5.89,0.98,0,3.93,0,0.98,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,1.06,0,0,6.37,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,3.28,1.09,0,2.19,0,0,1.09,0,0,0,0,8.74,0,1.09,3.28,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0.77,2.3,0.77,0,3.06,0.77,0,0.77,0,2.3,0,0,3.06,0,0,0.77,0,1.53,0,0,0.77,0,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,0
