stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,9,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,42,2,0,0,2,0,0,2,0,0,8,27,0,1,0,0
 24-34,0.82,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0.82,8.21,0,0,2.46,114.92,0,1.64,2.46,0,0,1.64,0.82,0,0,1.64,21.34,0,2.46,0,0
 36-46,0,0,0.81,0,21.75,0,0,0.81,0,0,0,0,0,0,0,0,10.47,0,0,0.81,136.16,0,0,0.81,0,0,0.81,0,0,0,0,29.81,0,1.61,0,0
 48-58,0,0,1.15,0,30.41,0,0,9.75,0,0.57,0.57,0,0,0,0,0,10.33,0.57,0,2.3,118.78,0.57,0,0,0,0,0,0,0,0,0,18.94,0,0,0,0.57
 60-70,0,0,0,0,37.3,0,0,9.82,0,0,0,0,0,0,0,0,14.72,0,0,1.96,91.28,0,0.98,0,0,0,0.98,0,0,0,0,12.76,0,0,0,0
 72-82,0,0,0.98,0.98,36.32,0,1.96,17.67,1.96,0,0,0,0,0,0,0,24.54,0,0.98,1.96,91.29,0,0.98,1.96,0,0,1.96,0,0,0,0,7.85,0.98,1.96,0,0
 84-94,0,0,1.06,1.06,21.24,1.06,0,7.43,2.12,0,0,0,1.06,0,0,0,11.68,0,1.06,0,36.11,1.06,1.06,3.19,0,0,1.06,0,2.12,0,0,6.37,0,0,0,0
 96-106,0,0,2.19,0,20.76,0,1.09,6.56,0,0,1.09,3.28,1.09,0,0,0,14.21,1.09,0,3.28,39.34,1.09,2.19,1.09,0,1.09,2.19,0,0,0,0,3.28,0,2.19,3.28,0
108-118,0,0,1.53,0,16.09,1.53,0.77,10.72,0,0,0,0,0.77,0.77,0,0.77,4.6,0,0,2.3,32.94,0,0,0.77,0,0,6.13,0,0,0,0,1.53,0,0,0,0
120,0,0,0,1.96,15.68,0,1.96,5.88,0,0,0,0,0,0,3.92,0,5.88,0,0,1.96,41.16,0,0,0,0,0,3.92,0,0,1.96,0,1.96,1.96,3.92,0,0
