stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,10.51,0,0,0,52.57,7.89,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,22.03,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,11,0,0,7,1,1,0,0
 24-34,0,0,0,0,0,0,1.64,0,6.57,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0,0,1.53,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
