stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,18,3,0,5,0,0,0,3,0,0,0,0,0,0,0,1,8,0,0,3,67,1,0,0,0,0,4,1,3,0,11,28,0,0,0,0
 24-34,0,0,1.64,12.31,0.82,0,20.52,0,0.82,0,4.1,0,0,0.82,0,0.82,1.64,0,2.46,22.98,0.82,0,9.85,140.37,0.82,0.82,2.46,0,0,13.13,0.82,0,0,4.93,37.76,0,4.1,0,0
 36-46,0,0,0.81,1.61,0.81,0,12.89,0.81,0,0.81,4.83,0,0,0,0.81,1.61,0,0,0.81,17.72,0,0.81,4.83,70.09,0,0.81,0,0,0,10.47,0,0.81,0,0,20.95,0.81,2.42,0,0
 48-58,0,0,0,3.44,0.57,0,16.07,0,0,1.72,7.46,0.57,0,0.57,0.57,1.15,0,1.15,0,16.07,0,0.57,5.16,27.54,0,0,1.15,0,0,8.03,0,0,0.57,0,9.18,0,1.72,0,0
 60-70,0,0,0,5.89,0.98,0,11.78,0,0,0,10.8,0.98,0,0,1.96,0.98,0,0,0,28.46,0.98,0,0,12.76,0,0,0,0,0.98,3.93,0,0,0,0,0.98,0.98,0.98,0.98,1.96
 72-82,0,0,0,5.89,0,0,8.83,0.98,1.96,2.94,15.71,0.98,0,0.98,0,1.96,0,0,0.98,47.12,0,3.93,3.93,22.58,0,0,0.98,0,0.98,12.76,0,0,0,0,5.89,0,0.98,0,0
 84-94,0,0,0,12.74,2.12,0,3.19,0,6.37,0,9.56,1.06,1.06,1.06,1.06,0,1.06,1.06,0,22.3,0,1.06,3.19,11.68,0,1.06,1.06,0,0,29.74,0,2.12,0,0,1.06,0,4.25,0,0
 96-106,0,0,0,15.3,4.37,1.09,9.84,0,4.37,7.65,24.04,1.09,0,0,3.28,1.09,0,2.19,0,62.29,1.09,2.19,5.46,17.49,1.09,0,0,0,1.09,39.34,0,2.19,0,0,0,2.19,2.19,1.09,0
108-118,0,0,0,14.55,2.3,4.6,3.83,1.53,3.83,6.89,18.38,3.83,0,0,2.3,0.77,0.77,4.6,0,58.21,0,1.53,5.36,16.09,0,0.77,0.77,0,0,16.85,0,0,0.77,0,1.53,0,8.43,1.53,0
120,0,0,0,11.76,0,0,7.84,1.96,0,3.92,19.6,1.96,0,0,5.88,0,0,3.92,0,45.08,1.96,1.96,11.76,9.8,1.96,1.96,1.96,0,0,21.56,0,1.96,0,0,0,0,3.92,1.96,0
