stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,5.31,0,0,1.06,0,0
 96-106,0,0,0,0,7.65,0,0,1.09,5.46,3.28,0,1.09,0,4.37,1.09,1.09,0,0,0,4.37,0,5.46,0,0,0,1.09,1.09
108-118,0,6.13,1.53,9.19,11.49,0,0,0,13.79,1.53,0,3.06,1.53,11.49,0.77,2.3,0.77,0,0.77,6.13,3.83,33.7,0,0.77,0.77,2.3,2.3
120,0,3.92,0,3.92,25.48,3.92,1.96,0,17.64,3.92,0,3.92,0,7.84,0,7.84,0,1.96,3.92,5.88,3.92,21.56,0,0,1.96,1.96,1.96
