stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,5.75,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,18.36,0,0,0,0.57,0,0,0,0,0.57,0,8.03,0,0,0,1.72,0,0
 60-70,0,0,0,0,89.32,0,0,0,0,0,1.96,0,0,0,0,10.8,0,0,0,0,0,0
 72-82,0,0,1.96,0,281.74,0,0,0,1.96,0,0,0.98,0.98,3.93,0,12.76,0,0.98,0,0.98,0,0
 84-94,0,1.06,0,0,218.78,0,0,0,0,0,0,0,0,3.19,1.06,8.5,0,0,0,1.06,0,0
 96-106,0,3.28,0,0,215.29,1.09,0,0,2.19,0,0,0,0,0,0,3.28,1.09,0,2.19,0,1.09,1.09
108-118,0,1.53,0,3.06,168.51,0,0,0.77,1.53,0,0,0,0,0,0,3.83,0,0,0,0,0,0
120,0,0,0,1.96,162.66,0,0,0,0,0,3.92,0,0,1.96,0,3.92,0,0,0,0,0,0
