stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,2,0,7,0,0,0,2,1,0,0,0,1,0,0,0,6,0,0,8,52,0,0,1,0,0,10,9,1,0,16,25,0,0,2,0,0
 24-34,0,0,0.82,6.57,0.82,0,17.24,0,0,0,4.93,0,0.82,0,1.64,0,0,0,0,11.49,0,0,10.67,113.28,0,0,0.82,0,0,13.13,0,0.82,0,3.28,33.66,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,12.09,0.81,1.61,0,2.42,0.81,0,0.81,0.81,0,0,0.81,0,13.7,0,0.81,0.81,74.93,0,2.42,0.81,0,0,9.67,0,0.81,0,0,14.5,0,0,1.61,0,0
 48-58,0,0,0,0.57,1.15,0,25.82,0,0.57,0,6.31,0.57,0,0,0.57,0,0,1.15,0.57,18.36,0.57,0,2.3,62.54,0,2.3,1.72,0,0,5.16,0,0,1.15,0,18.36,0,0,0.57,0,0
 60-70,0,0,0,2.94,0.98,0,33.37,0,1.96,0,21.59,1.96,0.98,0,1.96,0,0,0,0,11.78,0,0.98,3.93,76.56,0,5.89,1.96,0,0.98,12.76,0,0.98,0,0,20.61,0,0,0,0.98,1.96
 72-82,0,0,0,1.96,3.93,0,21.6,0,0,1.96,15.71,3.93,0.98,0,7.85,0,0,1.96,0,27.49,0.98,0.98,3.93,52.03,0.98,3.93,2.94,0,1.96,7.85,0,0,0,0,9.82,0,0,1.96,0.98,0.98
 84-94,0,1.06,0,4.25,4.25,0,26.55,0,2.12,3.19,15.93,2.12,0,0,11.68,2.12,3.19,1.06,0,35.05,0,2.12,7.43,50.98,3.19,1.06,2.12,0,1.06,30.8,0,0,0,0,2.12,0,0,2.12,0,2.12
 96-106,0,0,0,12.02,4.37,0,13.11,1.09,3.28,1.09,16.39,2.19,0,1.09,17.49,1.09,3.28,3.28,2.19,29.51,0,1.09,5.46,30.6,1.09,7.65,4.37,0,2.19,37.16,0,0,0,0,2.19,1.09,1.09,3.28,4.37,1.09
108-118,0,0,0,16.09,3.83,0.77,21.45,0,1.53,3.83,16.85,6.89,0,0,13.02,3.06,2.3,0.77,1.53,23.74,0,1.53,4.6,39.06,0,3.06,3.06,0,0.77,13.02,0,1.53,0.77,0,2.3,0,1.53,5.36,0,2.3
120,0,1.96,0,5.88,5.88,0,7.84,1.96,1.96,0,15.68,5.88,0,0,5.88,0,3.92,1.96,1.96,7.84,0,1.96,7.84,39.2,0,3.92,1.96,0,0,11.76,0,0,0,0,3.92,0,0,0,0,0
