stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.61,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,10.51,65.72,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,9.44,0,0,6.29,37.76,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,19,1,0,2,0,0,0,1,0,0,0,0,54,0,1,1,0,1,10,0,0,5,0,1,5,0,240,0,1,1,0,1,0,0
 24-34,0,0,0,0.82,65.67,0,0,20.52,0,1.64,0,1.64,1.64,0.82,0,0,178.13,0,23.8,0,0,2.46,69.77,0,0,41.04,0.82,32.01,18.06,0,242.97,0.82,0.82,6.57,0,0.82,0,0
 36-46,0,0,0,0,45.92,0,0,7.25,0,0.81,0.81,0,0.81,0,0,0,81.37,0,12.89,0,0,4.03,49.15,0,0.81,12.89,0.81,23.36,12.89,0,75.73,0.81,0,1.61,0,1.61,0,0
 48-58,0,0,0,0.57,44.18,0,0,11.48,1.15,2.3,0,2.3,0.57,0.57,0,1.15,41.31,0.57,20.08,0,0,5.74,47.05,0,0,17.21,0,22.38,12.62,0,21.8,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,53.98,0.98,0,11.78,0.98,1.96,0,2.94,1.96,0,0,0.98,49.08,0,42.21,0,0,11.78,25.52,0,0,17.67,0.98,23.56,6.87,0,13.74,0,0,0.98,3.93,0,0,0
 72-82,0,0,0.98,0,41.23,0.98,0,27.49,0.98,0.98,0,2.94,24.54,0.98,0,4.91,101.11,0,59.88,0,0.98,14.72,25.52,2.94,0.98,42.21,0,28.47,5.89,0,8.83,0,0,1.96,11.78,1.96,1.96,0
 84-94,0,0,1.06,1.06,74.34,2.12,0,14.87,0,1.06,2.12,3.19,30.8,0,2.12,2.12,166.74,0,105.14,2.12,0,14.87,35.05,0,1.06,20.18,0,97.71,5.31,0,10.62,3.19,0,0,60.54,3.19,1.06,0
 96-106,0,0,1.09,0,99.45,4.37,3.28,16.39,0,1.09,0,4.37,51.36,0,0,8.74,229.5,1.09,134.42,2.19,0,17.49,24.04,0,0,45.9,2.19,124.58,7.65,0,12.02,1.09,0,2.19,99.45,0,4.37,2.19
108-118,0,0,0,0,76.6,0.77,0.77,15.32,0.77,0.77,0,3.06,22.21,0,0,3.06,227.49,0.77,108,0.77,0,10.72,19.92,0,0.77,39.06,0,88.09,9.19,0,3.83,1.53,0,2.3,86.55,0.77,0.77,0.77
120,0,0,0,0,88.19,3.92,0,7.84,0,1.96,0,1.96,33.32,0,0,11.76,125.43,1.96,74.47,5.88,0,3.92,13.72,0,1.96,45.08,0,37.24,3.92,0,7.84,0,0,5.88,37.24,1.96,0,0
