stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,2.46,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,0,1.15,0,4.02,0,0,0,0,0.57,0,0
 60-70,0.98,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,2.94,0.98,0,0,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,4.25,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,2.19,0,2.19,1.09,0,5.46,0,0,1.09,1.09,4.37,0,1.09,0,2.19,0,0,0
108-118,1.53,0,0.77,0,0.77,8.43,0,6.13,1.53,0,1.53,0,0,0.77,8.43,0.77,0.77,0
120,0,0,0,0,0,7.84,0,7.84,1.96,0,5.88,0,0,1.96,11.76,0,0,0
