stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.47,18.88,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1075,11,0,7,0,0,0,1,0,1,0,0,7,0,3,0,0,3,2,0,5,27,54,0,10,2,0,1,3,20,0,2,13,0,0,9,0,0
 24-34,0,0.82,0.82,935.78,6.57,0,13.13,0,40.22,0,2.46,0,0,3.28,0.82,0,0,45.97,0,0,47.61,12.31,0,77.16,102.61,89.47,0,9.85,0,0,3.28,0,21.34,0,4.1,32.83,0,0,79.62,0,0.82
 36-46,0,1.61,0,545.44,0.81,0,7.25,0,64.45,1.61,10.47,0.81,0,0.81,0,0,1.61,30.62,0,0,113.6,8.06,0.81,48.34,81.37,58.81,7.25,4.03,0,0,1.61,0.81,3.22,0,0,30.62,0,0,58.01,0,3.22
 48-58,0,1.15,0,461.34,0,0,18.94,0,124.52,1.72,17.21,0,0,4.59,0.57,0,12.05,24.1,0,0,115.33,7.46,0,34.43,83.78,65.99,1.15,8.03,0,0.57,2.3,0,3.44,0,0,29.84,0,0,60.82,0,5.74
 60-70,0,0.98,0,399.48,0,0,18.65,0,93.24,0,25.52,0,0,2.94,0,0.98,31.41,16.69,0,0,90.3,5.89,0.98,30.43,95.21,46.13,1.96,2.94,0,0,2.94,0,4.91,0,0,30.43,0.98,0.98,46.13,0,4.91
 72-82,0,3.93,0,490.83,0.98,0,21.6,2.94,113.87,0.98,78.53,5.89,0,8.83,0.98,2.94,48.1,25.52,2.94,0,160.01,7.85,5.89,33.38,108.96,39.27,3.93,4.91,0,0,1.96,0,0.98,0,0,23.56,0.98,0,112.89,2.94,4.91
 84-94,0,2.12,0,857.06,2.12,0,22.3,0,210.28,1.06,38.23,4.25,0,0,0,9.56,80.71,21.24,0,0,108.33,12.74,2.12,28.68,50.98,69.03,5.31,2.12,0,0,5.31,0,8.5,0,0,20.18,2.12,0,86.03,2.12,13.81
 96-106,0,1.09,0,1237.1,4.37,1.09,28.41,0,238.24,1.09,61.2,8.74,0,3.28,1.09,4.37,75.41,20.76,2.19,1.09,149.72,19.67,8.74,30.6,77.59,52.46,9.84,4.37,0,0,3.28,0,7.65,0,0,5.46,7.65,1.09,91.8,6.56,10.93
108-118,0,0,0,1423.93,0,0.77,18.38,0.77,360,2.3,50.55,18.38,0,2.3,0.77,13.79,107.23,16.85,0.77,4.6,137.87,11.49,4.6,28.34,72,53.62,7.66,10.72,0,0,2.3,0,9.96,0.77,0,9.19,16.85,0,80.43,2.3,19.15
120,0,1.96,0,697.68,3.92,1.96,11.76,1.96,188.14,0,41.16,1.96,0,0,1.96,5.88,62.71,13.72,0,1.96,125.43,13.72,5.88,15.68,68.59,72.51,1.96,3.92,0,0,1.96,0,7.84,0,0,5.88,7.84,0,60.75,0,3.92
