stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,9.44,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,2,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,7,21,19,0,0,1,0,0,0,6,1,62,75,10,0,3,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,0,0,0.82,0,0,4.93,0,0,0,0.82,0.82,9.03,0,0,4.93,105.07,24.63,0.82,1.64,0,0,0.82,0,0,1.64,8.21,25.45,30.37,0,9.03,0,0
 36-46,0,0,0,0,0.81,0,7.25,2.42,0.81,0,1.61,0,0,2.42,0,0,0,0,0,18.53,0,0,4.83,274.73,26.59,0,0,0,0,0.81,0,0,0,0,0,51.56,0,8.06,0,0
 48-58,0,0,0,0,1.15,0,41.31,2.87,0,2.3,4.59,0,0,3.44,0.57,0,0.57,0.57,0.57,49.35,0,1.15,5.16,457.32,16.07,0,0.57,0,0.57,1.72,0,0,0,1.15,0,59.68,1.15,4.02,0,0.57
 60-70,0,0,0.98,0,0.98,0.98,52.02,4.91,0,0.98,12.76,0,0,3.93,0,0,0,0,0,80.48,0,0,3.93,635.04,12.76,0,0.98,0,0,0,0,0,0,0,0,68.71,0,5.89,0.98,1.96
 72-82,0,0,2.94,0,2.94,0.98,81.48,2.94,0,0.98,6.87,0.98,0,1.96,0.98,0.98,0,0,0,112.89,0,1.96,4.91,562.49,7.85,0,1.96,0,0,0.98,0,0,0,0,0,40.25,2.94,10.8,4.91,0.98
 84-94,0,0,0,0,5.31,1.06,43.54,4.25,0,1.06,7.43,1.06,0,5.31,1.06,0,0,0,0,67.97,0,5.31,3.19,278.25,10.62,0,3.19,0,0,4.25,0,0,0,0,0,20.18,3.19,5.31,4.25,0
 96-106,0,0,2.19,1.09,0,3.28,37.16,3.28,0,0,7.65,0,0,7.65,1.09,0,0,1.09,0,57.92,0,3.28,4.37,196.71,10.93,2.19,1.09,0,0,3.28,0,0,2.19,0,0,6.56,2.19,1.09,10.93,0
108-118,0,0,0,0,2.3,0,26.04,3.83,0,0,4.6,0.77,0,3.06,0,0,0,0,0,26.81,0.77,2.3,1.53,229.79,13.79,0,2.3,0,0,0.77,0,0,0,0,0,3.06,1.53,3.83,6.13,0.77
120,0,0,1.96,0,3.92,0,33.32,1.96,0,0,3.92,0,0,0,0,0,0,0,0,21.56,0,0,1.96,172.46,13.72,0,1.96,0,0,0,0,0,0,0,0,11.76,0,3.92,5.88,0
