stage,blastomeres,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm
  3-4,250.38,0,0,0,0,0,0,0,0
  5-6,380.04,0,0,0,0,0,0,0,6.13
  7-9,2.63,2.63,0,0,0,0,15.77,2.63,0
 10-12,0,0,0,0,0,0,6.29,3.15,0
 24-34,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,1.61,0,0
 48-58,0,1.15,0,0,0.57,0.57,4.59,0,0
 60-70,0,1.96,0,0,0,0,14.72,0,0
 72-82,0,0.98,0.98,0.98,0.98,0,5.89,0,0
 84-94,0,0,0,0,1.06,0,5.31,0,0
 96-106,0,1.09,1.09,0,0,0,2.19,0,0
108-118,0,1.53,0,0,0,0,4.6,0,0
120,0,0,0,0,0,0,3.92,0,0
